Site_ID,Lat,Long,SITE_NAME,Site_Selection,Project_Name
09-LEAGL-0.0,44.66883,-74.27214,Eagle Pond,Non-Targeted / Targeted,RIBS Screening / RAS
09-LHRSH-0.0,44.131802,-74.621002,Horseshoe Lake Deep Hole,Non-Targeted / Targeted,RIBS Screening / RAS
09-LLTUP-0.0,44.041047,-74.605496,Little Tupper Lake,Non-Targeted / Targeted,RIBS Screening / RAS
09-LRBWF-0.0,44.509602,-74.789703,Rainbow Falls Reservoir,Non-Targeted / Targeted,RIBS Screening / RAS
09-LSILV-0.0,44.227403,-74.826919,Silver Lake,Non-Targeted / Targeted,RIBS Screening / RAS
09-LTTL-10.2,44.1431,-75.02764,Little River,Non-Targeted / Targeted,RIBS Screening / RAS
09-LTTL-13.2,44.16619,-75.00215,Little River,Non-Targeted / Targeted,RIBS Screening / RAS
09-LTTL-2.0,44.19305,-75.06889,Little River,Non-Targeted / Targeted,RIBS Screening / RAS
09-LTTL_T12-0.4,44.150418,-75.1102,Unnamed Tributary To Little River,Non-Targeted / Targeted,RIBS Screening / RAS
09-MARA-4.5,43.836755,-74.563743,Marion River,Non-Targeted / Targeted,RIBS Screening / RAS
09-MOOK-2.3,44.1425,-74.12902,Moose Creek,Non-Targeted / Targeted,RIBS Screening / RAS
09-MUPO-0.8,43.903349,-74.43669,Mud Pond Outlet,Non-Targeted / Targeted,RIBS Screening / RAS
09-OSGO-6.6,44.48528,-74.27471,Osgood River,Non-Targeted / Targeted,RIBS Screening / RAS
09-OZON-0.7,44.67528,-74.60167,Lake Ozonia Outlet,Non-Targeted / Targeted,RIBS Screening / RAS
09-PALC-2.5,44.043935,-75.223674,Palmer Creek,Non-Targeted / Targeted,RIBS Screening / RAS
09-PLET-3.8,44.329646,-74.893547,Pleasant Lake Stream,Non-Targeted / Targeted,RIBS Screening / RAS
09-RAGG-3.3,44.68969,-74.10788,Unnamed Tributary To Ragged Lake,Non-Targeted / Targeted,RIBS Screening / RAS
09-RAQU-105.0,44.236904,-74.40019,Raquette River,Non-Targeted / Targeted,RIBS Screening / RAS
09-RAQU-80.9,44.314314,-74.665562,Raquette River,Non-Targeted / Targeted,RIBS Screening / RAS
09-RAQU-89.9,44.253575,-74.595852,Raquette River,Non-Targeted / Targeted,RIBS Screening / RAS
09-RAQU-92.7,44.23167,-74.55778,Raquette River,Non-Targeted / Targeted,RIBS Screening / RAS
09-RAQU_T69-0.7,44.35561,-74.73653,Unnamed Tributary To Raquette River,Non-Targeted / Targeted,RIBS Screening / RAS
09-REGI-64.0,44.523049,-74.49203,Saint Regis River,Non-Targeted / Targeted,RIBS Screening / RAS
09-REGI_E-5.8,44.67333,-74.4275,East Branch St. Regis River,Non-Targeted / Targeted,RIBS Screening / RAS
09-REGI_T80-0.1,44.4526,-74.37303,Unnamed Tributary To St.Regis River,Non-Targeted / Targeted,RIBS Screening / RAS
09-SDSH-2.1,44.69111,-73.9525,Standish Brook,Non-Targeted / Targeted,RIBS Screening / RAS
09-SDSH-2.7,44.688938,-73.941967,Standish Brook,Non-Targeted / Targeted,RIBS Screening / RAS
09-SEPA-0.9,44.75167,-73.93416,Separator Brook,Non-Targeted / Targeted,RIBS Screening / RAS
09-SEPA-4.3,44.71878,-73.89908,Separator Brook,Non-Targeted / Targeted,RIBS Screening / RAS
09-SREG-0.2,44.440378,-74.23191,Unnamed Tributary To Upper St. Regis Lake,Non-Targeted / Targeted,RIBS Screening / RAS
09-STNH-1.0,44.55449,-74.66797,Stoney Brook,Non-Targeted / Targeted,RIBS Screening / RAS
09-STRB-0.2,44.42603916,-74.3452637,St. Regis Brook,Targeted,RMN
09-STTK-1.3,44.324,-74.843,Stony Brook,Non-Targeted / Targeted,RIBS Screening / RAS
09-WARD-2.7,44.185,-74.1844,Ward Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-ADKS11_103-1.6,43.67374,-73.62859,Round Pond Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-ADKS11_171-0.2,44.18132,-73.82802,Bear Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-ADKS11_2004-2.5,44.38991,-73.8975,Unnamed Tributary To Frenchs Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-ADKS11_2005-3.2,44.41785,-73.8672,Unnamed Tributary To Frenchs Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-ADKS11_2006-3.1,44.3771,-73.90129,Unnamed Tributary To Frenchs Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-ADKS11_2007-2.5,44.1957,-73.8459,Unnamed Tributary To Slide Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-ADKS11_2011-0.7,44.15621,-73.94629,Phelps Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-ADKS11_206-0.2,44.1645,-73.78214,Deer Falls Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-ADKS12_105-1.2,44.305556,-73.814722,Liscomb Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-ADKS12_110-0.7,44.466111,-73.886389,Unnamed Tributary To Taylor Pond,Non-Targeted / Targeted,RIBS Screening / RAS
10-ADKS12_123-0.5,44.286667,-74.069444,Unnamed Tributary To  Ray Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-ADKS12_151-0.1,44.138611,-73.637222,Stevens Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-ADKS12_183-0.3,44.228889,-73.745278,Unnamed Tributary To Spruce Hill Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-ADKS12_184-1.0,44.411389,-73.81083,Unnmaed Tributary To West Branch Ausable River,Non-Targeted / Targeted,RIBS Screening / RAS
10-ADKS12_2000-2.7,44.178333,-73.73277,Putnam Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-ADKS12_2001-0.8,44.120556,-73.83972,Unnamed Tributary To East Branch Ausable River,Non-Targeted / Targeted,RIBS Screening / RAS
10-ADKS12_2002-3.3,44.1025,-73.820278,Gill Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-ADKS12_2008-1.9,44.161111,-73.81166,Deer Falls Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-ADKS12_2012-2.8,44.165556,-73.9025,Klondike Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-ADKS12_240-0.1,44.080556,-73.491389,Bartlett Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-ADKS12_249-4.7,44.178889,-73.494722,Hoisington Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-ADKS12_257-0.7,44.41706,-73.912503,Unnamed Tributary To Frenchs Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-ADKS12_276-1.4,44.391111,-73.858889,White Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-ADKS12_78-0.8,44.23,-73.736389,Unnamed Tributary To Spruce Hill Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-ADKS12_83-1.1,44.411944,-73.566944,Unnamed Tributary To Durgan Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-ADKS12_98-1.0,44.287778,-73.76888,Unnamed Tributary To Styles Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-ALDE-0.7,44.57167,-73.94384,Alder Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-ALDE_T15-0.6,44.498208,-74.008785,Unnamed Tributary To Alder Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-BEAW-2.3,44.23364,-73.38267,Beaver Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-BEHA-1.0,44.67302,-73.72732,Behan Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-BLAR-1.1,44.23422,-73.51052,Black River,Non-Targeted / Targeted,RIBS Screening / RAS
10-BLBR-2.4,44.45861,-73.74333,Black Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-BOQT-10.8,44.264529,-73.4012,Boquet River,Non-Targeted / Targeted,RIBS Screening / RAS
10-BOQT-13.7,44.24111,-73.43,Boquet River,Non-Targeted / Targeted,RIBS Screening / RAS
10-BOQT-15.0,44.22528,-73.44028,Boquet River,Non-Targeted / Targeted,RIBS Screening / RAS
10-BOQT-2.6,44.36389,-73.390881,Boquet River,Targeted,RIBS Routine
10-BOQT-2.8,44.361742,-73.391577,Boquet River,Non-Targeted / Targeted,RIBS Screening / RAS
10-BOQT-23.2,44.24826,-73.52014,Boquet River,Non-Targeted / Targeted,RIBS Screening / RAS
10-BOQT-28.5,44.22003,-73.58552,Boquet River,Non-Targeted / Targeted,RIBS Screening / RAS
10-BOQT-28.6,44.21778,-73.58556,Boquet River,Non-Targeted / Targeted,RIBS Screening / RAS
10-BOQT-37.2,44.14694,-73.62695,Boquet River,Non-Targeted / Targeted,RIBS Screening / RAS
10-BOQT-41.7,44.10583,-73.68584,Boquet River,Non-Targeted / Targeted,RIBS Screening / RAS
10-BOQT_N-3.3,44.32278,-73.44695,North Branch Boquet River,Non-Targeted / Targeted,RIBS Screening / RAS
10-BRAY-1.5,44.806416,-73.724275,Brandy Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-BRNC-0.4,44.21667,-73.59025,The Branch,Non-Targeted / Targeted,RIBS Screening / RAS
10-BURP-3.7,44.25561,-73.59038,Burpee Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-CADE-0.1,44.2625,-73.79583,Cascade Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-CARN-1.2,44.45468,-73.56276,Carney Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-CBRK-0.2,44.5875,-73.90833,Cold Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-CBRK_E-0.6,44.63298,-73.91543,East Branch Cold Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-CHAT-0.7,43.80167,-73.39444,Charter Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-CHLS-0.6,43.857407,-73.447807,Chilson Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-CHUB-0.4,44.271182,-73.961535,Chubb River,Non-Targeted / Targeted,RIBS Screening / RAS
10-CHUB-5.0,44.262096,-74.01454,Chubb River,Non-Targeted / Targeted,RIBS Screening / RAS
10-CHUB_T4-0.6,44.268489,-73.98853,Unnamed Tributary To Chubb River,Non-Targeted / Targeted,RIBS Screening / RAS
10-CHUB_T4-0.7,44.267337,-73.98942,Unnamed Tributary To Chubb River. Control Strm 2; Us,Non-Targeted / Targeted,RIBS Screening / RAS
10-CLIF-0.1,44.284907,-73.78886,Clifford Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-CMIL-3.3,43.722127,-73.418303,Mill Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-COLW-0.7,44.32675,-73.48008,Cold Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-DART-0.1,44.256252,-73.79383,Dart Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-DLET-0.1,44.7403,-73.8352,Deep Inlet Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-DLET-2.4,44.72041,-73.87015,Deep Inlet Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-DODD-0.2,43.73778,-73.50472,Dodd Hill Road Stream,Non-Targeted / Targeted,RIBS Screening / RAS
10-DODD-1.0,43.74167,-73.51638,Dodd Hill Road Stream,Non-Targeted / Targeted,RIBS Screening / RAS
10-DODD-1.4,43.74333,-73.52306,Dodd Hill Road Stream,Non-Targeted / Targeted,RIBS Screening / RAS
10-DUTT-0.6,44.25187,-74.2381,Dutton Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-ENBR-0.7,43.43639,-73.71917,English Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-FICK-1.1,44.3298,-74.187,Fish Creek,Non-Targeted / Targeted,RIBS Screening / RAS
10-FICK_T1-1.0,44.347602,-74.183973,Unnamed Tributary To Fish Creek,Non-Targeted / Targeted,RIBS Screening / RAS
10-FINK-0.7,43.56667,-73.66,Finkle Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-FLOS-0.1,44.328052,-74.38799,Floodwood Passage,Non-Targeted / Targeted,RIBS Screening / RAS
10-FMIL-2.1,43.88111,-73.42278,Fivemile Creek,Non-Targeted / Targeted,RIBS Screening / RAS
10-GCHZ-41.2,44.7827,-73.76634,Great Chazy River,Non-Targeted / Targeted,RIBS Screening / RAS
10-GILB-0.4,44.13865,-73.79723,Gill Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-GULB-0.1,44.256772,-73.79242,Gulf Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-GULB-0.6,44.25714,-73.78291,Gulf Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-HAGE-0.2,43.74569,-73.49889,Hague Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-HALF-7.9,43.39472,-73.55722,Halfway Creek,Non-Targeted / Targeted,RIBS Screening / RAS
10-HALF_T2-4.3,43.471629,-73.504537,Unnamed Tributary To Halfway Creek,Non-Targeted / Targeted,RIBS Screening / RAS
10-HLET-1.3,43.630542,-73.492534,Unnamed Tributary To Lake George,Non-Targeted / Targeted,RIBS Screening / RAS
10-HOIS-0.1,44.18417,-73.43416,Hoisington Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-HOLC-0.2,44.286867,-73.93226,Holcomb Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-HUDD-0.2,43.53695,-73.66777,Huddle Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-INBR-0.1,43.5875,-73.64167,Indian Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-INBR-1.5,43.60162,-73.65685,Indian Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-JACK-0.2,44.44361,-73.67389,Jackson Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-JONS-0.8,44.18977,-73.79871,Johns Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-LAUGR-0.0,44.47028,-73.49528,Augur Lake,Non-Targeted / Targeted,RIBS Screening / RAS
10-LBBR-0.1,44.42667,-73.75472,Little Black Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-LCHM_T117-1.0,43.638247,-73.44596,Unnamed Tributary To Lake Champlain,Non-Targeted / Targeted,RIBS Screening / RAS
10-LCHU-2.0,43.84945,-73.4211,La Chute River,Non-Targeted / Targeted,RIBS Screening / RAS
10-LG55-0.4,43.55695,-73.65861,Unnamed Tributary To Lake George,Non-Targeted / Targeted,RIBS Screening / RAS
10-LGEO_T37-0.2,43.417164,-73.69941,Unnamed Tributary To Lake George,Non-Targeted / Targeted,RIBS Screening / RAS
10-LGEO_T62-0.2,43.611,-73.628,Unnamed Tributary To Lake George,Non-Targeted / Targeted,RIBS Screening / RAS
10-LGEO_T78-0.1,43.666,-73.515,Unnamed Tributary To Lake George,Non-Targeted / Targeted,RIBS Screening / RAS
10-LINC-2.6,44.428261,-73.94434,Lincoln Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-LMIRR-0.0,44.29131,-73.98299,Mirror Lake,Non-Targeted / Targeted,RIBS Screening / RAS
10-LRNC_03-0.2,44.56694,-73.42555,Ausable River,Non-Targeted / Targeted,RIBS Screening / RAS
10-LSAB-17.6,44.49222,-73.59361,Little Ausable River,Non-Targeted / Targeted,RIBS Screening / RAS
10-LSAB-23.4,44.494557,-73.64758,Little Ausable River,Non-Targeted / Targeted,RIBS Screening / RAS
10-LSAR_T10-0.3,44.329961,-74.28817,Unnamed Tributary To Upper Saranac Lake,Non-Targeted / Targeted,RIBS Screening / RAS
10-LSLYP-0.0,43.454622,-73.590074,Sly Pond,Non-Targeted / Targeted,RIBS Screening / RAS
10-LTRO-0.9,44.47639,-73.42916,Little Trout Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-MCGU-0.3,44.41922,-73.49546,Mcguire Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-MCKN-0.2,44.03583,-73.46221,Mckenzie Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-MCKN-6.4,44.032147,-73.54283,Mckenzie Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-MDAU-4.0,44.47979,-73.46387,Mud Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-MILC-0.2,44.05194,-73.45555,Mill Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-MILC-3.6,44.060296,-73.500379,Mill Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-MILC-6.3,44.05314,-73.53894,Mill Brook,Non-Targeted / Targeted,RIBS Screening / RAS
10-MKEN-1.4,44.253198,-74.22255,Mckenna Brook,Non-Targeted / Targeted,RIBS Screening / RAS
