"site_no","AP","SAMPLE_DATE","CHARACTERISTIC_NAME","RSLT_RESULT_VALUE","RSLT_RESULT_UNIT","LOCATION_WATERBODY_CLASSIFICATION","LOCATION_Y_COORDINATE","LOCATION_X_COORDINATE"
"01-BUFF-1.7","N","2008-07-15 12:50","CHLORIDE",69.9,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2013-05-08 13:15","CHLORIDE",44,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2015-04-28 13:00","CHLORIDE",65.3,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2018-06-12 16:00","CHLORIDE",44.2,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2005-10-26 10:00","CHLORIDE",21,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2006-09-25 10:55","CHLORIDE",47,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2004-10-05 10:00","CHLORIDE",48.4,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2006-10-18 11:15","CHLORIDE",40.9,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2015-08-11 12:00","CHLORIDE",69.9,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2016-10-24 13:00","CHLORIDE",38.7,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2009-09-22 7:45","CHLORIDE",48.6,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2009-11-03 7:50","CHLORIDE",25,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2011-05-04 13:00","CHLORIDE",20.9,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2008-05-14 13:20","CHLORIDE",63.1,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2008-06-24 13:00","CHLORIDE",47,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2010-10-19 8:00","CHLORIDE",51.2,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2015-06-23 13:00","CHLORIDE",43.4,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2011-10-13 13:20","CHLORIDE",56.8,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2008-10-21 12:45","CHLORIDE",32.5,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2002-06-27 8:00","CHLORIDE",36.6,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2012-04-17 10:45","CHLORIDE",59.2,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2004-10-26 10:00","CHLORIDE",34.2,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2001-07-31 7:00","CHLORIDE",59.6,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2014-06-24 13:30","CHLORIDE",42.3,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2001-08-14 7:00","CHLORIDE",54.6,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2004-06-21 10:00","CHLORIDE",60.9,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2017-08-14 12:00","CHLORIDE",50,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2016-06-15 13:00","CHLORIDE",54.1,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2011-07-21 12:05","CHLORIDE",45.8,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2006-05-02 11:20","CHLORIDE",61.6,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2001-09-04 13:00","CHLORIDE",73,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2005-09-13 11:00","CHLORIDE",32.1,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2013-09-17 13:30","CHLORIDE",67,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2019-10-21 16:00","CHLORIDE",38.1,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2005-07-28 10:00","CHLORIDE",61,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2009-06-23 7:40","CHLORIDE",51,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2012-10-15 10:40","CHLORIDE",66.4,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2009-08-11 8:00","CHLORIDE",14,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2019-04-17 16:00","CHLORIDE",52.2,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2001-10-31 10:00","CHLORIDE",58.6,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2007-10-30 8:15","CHLORIDE",78.8,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2002-10-31 10:00","CHLORIDE",44,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2003-08-19 10:00","CHLORIDE",41.9,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2010-09-27 8:10","CHLORIDE",68.7,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2008-09-03 13:00","CHLORIDE",54.3,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2015-10-06 13:00","CHLORIDE",24.2,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2019-08-15 16:00","CHLORIDE",55.6,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2007-09-19 12:00","CHLORIDE",70.6,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2018-10-15 16:00","CHLORIDE",30.7,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2012-05-23 10:50","CHLORIDE",42.9,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2002-08-06 10:00","CHLORIDE",55.6,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2014-10-07 13:45","CHLORIDE",68.4,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2013-04-16 13:30","CHLORIDE",48.5,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2005-04-19","CHLORIDE",60.9,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2014-04-29 13:45","CHLORIDE",66.9,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2010-08-09 8:00","CHLORIDE",50.2,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2003-04-23 10:00","CHLORIDE",74.7,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2014-08-12 13:30","CHLORIDE",29.3,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2004-05-12 10:00","CHLORIDE",41.2,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2018-08-15 16:00","CHLORIDE",48.9,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2003-05-13 10:00","CHLORIDE",50,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2009-04-21 13:10","CHLORIDE",60.6,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2009-05-12 13:05","CHLORIDE",59.7,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2006-07-13 10:30","CHLORIDE",49.6,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2012-07-02 11:00","CHLORIDE",35.9,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2013-05-28 13:00","CHLORIDE",40.1,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2005-06-21 10:00","CHLORIDE",41.1,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2003-06-23 11:00","CHLORIDE",45.7,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2011-06-13 7:55","CHLORIDE",55.8,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2018-04-18 16:00","CHLORIDE",85.8,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2002-04-23 10:00","CHLORIDE",45.5,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2017-10-17 12:00","CHLORIDE",42.3,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2005-05-10 10:00","CHLORIDE",51.3,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2002-09-18 8:00","CHLORIDE",54.8,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2003-09-16 10:00","CHLORIDE",57.5,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2001-06-04 13:00","CHLORIDE",81.5,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2012-09-04 10:45","CHLORIDE",57,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2017-06-14 13:00","CHLORIDE",41.2,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2007-07-24 11:00","CHLORIDE",64.4,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2010-05-10 8:00","CHLORIDE",40.8,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2013-10-07 11:30","CHLORIDE",57.9,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2019-06-13 16:00","CHLORIDE",54.6,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2010-06-08 8:00","CHLORIDE",24.8,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2007-05-15 11:00","CHLORIDE",42.4,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2006-05-22 11:05","CHLORIDE",73,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2004-04-20 10:00","CHLORIDE",69.6,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2016-08-01 13:00","CHLORIDE",58.6,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2016-04-20 13:00","CHLORIDE",24,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2002-05-14 10:00","CHLORIDE",14.4,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2012-06-11 11:00","CHLORIDE",50.1,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2016-04-19 13:00","CHLORIDE",63,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2011-05-25 13:15","CHLORIDE",23.1,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2001-05-17 10:00","CHLORIDE",63.1,"mg/l","B",42.86194,-78.86787
"01-BUFF-1.7","N","2010-04-15 8:00","CHLORIDE",68.6,"mg/l","B",42.86194,-78.86787
"01-CATT-2.0","N","2001-04-19 11:00","CHLORIDE",23.7,"mg/l","B",42.5685,-79.10426
"01-CATT-2.0","N","2001-05-10 11:00","CHLORIDE",31,"mg/l","B",42.5685,-79.10426
"01-CATT-2.0","N","2011-11-01 11:45","CHLORIDE",23,"mg/l","B",42.5685,-79.10426
"01-CATT-2.0","N","2006-05-24 8:30","CHLORIDE",32.9,"mg/l","B",42.5685,-79.10426
"01-CATT-2.0","N","2006-05-04 8:20","CHLORIDE",33.9,"mg/l","B",42.5685,-79.10426
"01-CATT-2.0","N","2001-06-06 10:00","CHLORIDE",26.9,"mg/l","B",42.5685,-79.10426
"01-CATT-2.0","N","2011-06-28 11:30","CHLORIDE",28.2,"mg/l","B",42.5685,-79.10426
"01-CATT-2.0","N","2011-06-14 8:40","CHLORIDE",28.2,"mg/l","B",42.5685,-79.10426
"01-CATT-2.0","N","2001-10-02 12:00","CHLORIDE",34.7,"mg/l","B",42.5685,-79.10426
"01-CATT-2.0","N","2011-09-12 11:35","CHLORIDE",32.5,"mg/l","B",42.5685,-79.10426
"01-CATT-2.0","N","2006-07-10 8:25","CHLORIDE",38.8,"mg/l","B",42.5685,-79.10426
"01-CATT-2.0","N","2001-11-14 10:00","CHLORIDE",32.1,"mg/l","B",42.5685,-79.10426
"01-CATT-2.0","N","2011-04-12 11:40","CHLORIDE",27.8,"mg/l","B",42.5685,-79.10426
"01-CATT-2.0","N","2011-05-24 10:45","CHLORIDE",10.8,"mg/l","B",42.5685,-79.10426
"01-CATT-2.0","N","2011-07-20 10:40","CHLORIDE",38.4,"mg/l","B",42.5685,-79.10426
"01-CATT-2.0","N","2011-08-17 10:30","CHLORIDE",35.5,"mg/l","B",42.5685,-79.10426
"01-CATT-2.0","N","2006-11-08 8:30","CHLORIDE",21.5,"mg/l","B",42.5685,-79.10426
"01-CATT-2.0","N","2001-07-02 13:00","CHLORIDE",31.2,"mg/l","B",42.5685,-79.10426
"01-CATT-2.0","N","2006-10-16 8:30","CHLORIDE",22.1,"mg/l","B",42.5685,-79.10426
"01-CATT-2.0","N","2006-04-05 0:25","CHLORIDE",24.4,"mg/l","B",42.5685,-79.10426
"01-CATT-2.0","N","2011-10-12 11:20","CHLORIDE",34.3,"mg/l","B",42.5685,-79.10426
"01-CATT-2.0","N","2001-08-15 11:00","CHLORIDE",34.9,"mg/l","B",42.5685,-79.10426
"01-CATT-2.0","N","2011-05-03 11:25","CHLORIDE",23.7,"mg/l","B",42.5685,-79.10426
"01-CATT-2.0","N","2001-09-19 11:00","CHLORIDE",35.2,"mg/l","B",42.5685,-79.10426
"01-CATT-2.0","N","2006-08-14 8:15","CHLORIDE",37,"mg/l","B",42.5685,-79.10426
"01-CATT-2.0","N","2006-06-12 14:00","CHLORIDE",38.2,"mg/l","B",42.5685,-79.10426
"01-CATT-2.0","N","2006-09-26 8:25","CHLORIDE",21.1,"mg/l","B",42.5685,-79.10426
"01-CATT-2.0","N","2001-10-25 11:00","CHLORIDE",32,"mg/l","B",42.5685,-79.10426
"01-CATT-2.0","N","2006-09-07 11:45","CHLORIDE",24.1,"mg/l","B",42.5685,-79.10426
"01-CATT-2.0","N","2001-07-24 11:00","CHLORIDE",26.1,"mg/l","B",42.5685,-79.10426
"01-CATT-64.4","N","2001-10-24 11:00","CHLORIDE",27.9,"mg/l","B",42.5693,-78.34674
"01-CATT-64.4","N","2001-10-02 14:00","CHLORIDE",33.9,"mg/l","B",42.5693,-78.34674
"01-CATT-64.4","N","2001-11-13 8:00","CHLORIDE",28.5,"mg/l","B",42.5693,-78.34674
"01-CATT-64.4","N","2001-07-23 12:00","CHLORIDE",35.8,"mg/l","B",42.5693,-78.34674
"01-CATT-64.4","N","2001-08-14 12:00","CHLORIDE",35.7,"mg/l","B",42.5693,-78.34674
"01-CATT-64.4","N","2001-05-09 12:00","CHLORIDE",22.9,"mg/l","B",42.5693,-78.34674
"01-CATT-64.4","N","2001-04-19 9:00","CHLORIDE",17.3,"mg/l","B",42.5693,-78.34674
"01-CATT-64.4","N","2001-07-02 16:00","CHLORIDE",25.7,"mg/l","B",42.5693,-78.34674
"01-CATT-64.4","N","2001-06-04 11:00","CHLORIDE",16.5,"mg/l","B",42.5693,-78.34674
"01-CATT-64.4","N","2001-09-20 10:00","CHLORIDE",36.8,"mg/l","B",42.5693,-78.34674
"01-CATT_S-12.6","N","2006-09-26 10:25","CHLORIDE",13.6,"mg/l","B",42.356,-78.83286
"01-CATT_S-12.6","N","2006-08-14 10:20","CHLORIDE",22.7,"mg/l","B",42.356,-78.83286
"01-CATT_S-12.6","N","2006-10-16 10:25","CHLORIDE",11.7,"mg/l","B",42.356,-78.83286
"01-CATT_S-12.6","N","2006-07-10 10:45","CHLORIDE",24.1,"mg/l","B",42.356,-78.83286
"01-CATT_S-12.6","N","2006-05-04 10:10","CHLORIDE",19.7,"mg/l","B",42.356,-78.83286
"01-CATT_S-12.6","N","2006-05-24 10:30","CHLORIDE",19.6,"mg/l","B",42.356,-78.83286
"01-CATT_S-12.6","N","2006-11-08 11:00","CHLORIDE",13.2,"mg/l","B",42.356,-78.83286
"01-CATT_S-12.6","N","2006-06-12 0:30","CHLORIDE",23.1,"mg/l","B",42.356,-78.83286
"01-CATT_S-12.6","N","2006-09-07 10:15","CHLORIDE",16.1,"mg/l","B",42.356,-78.83286
"01-CAZE-1.1","N","2006-05-22 10:40","CHLORIDE",69.7,"mg/l","B",42.850556,-78.80916
"01-CAZE-1.1","N","2006-07-13 9:55","CHLORIDE",22.6,"mg/l","B",42.850556,-78.80916
"01-CAZE-1.1","N","2006-10-18 10:35","CHLORIDE",21.8,"mg/l","B",42.850556,-78.80916
"01-CAZE-1.1","N","2001-09-04 9:00","CHLORIDE",56,"mg/l","B",42.850556,-78.80916
"01-CAZE-1.1","N","2006-06-13 8:00","CHLORIDE",86,"mg/l","B",42.850556,-78.80916
"01-CAZE-1.1","N","2001-05-17 10:00","CHLORIDE",65.1,"mg/l","B",42.850556,-78.80916
"01-CAZE-1.1","N","2006-09-06 9:35","CHLORIDE",39.8,"mg/l","B",42.850556,-78.80916
"01-CAZE-1.1","N","2006-04-04 9:20","CHLORIDE",39.7,"mg/l","B",42.850556,-78.80916
"01-CAZE-1.1","N","2006-08-16 9:55","CHLORIDE",68.1,"mg/l","B",42.850556,-78.80916
"01-CAZE-1.1","N","2006-05-02 10:45","CHLORIDE",70.9,"mg/l","B",42.850556,-78.80916
"01-CAZE-1.1","N","2001-10-31 10:00","CHLORIDE",53,"mg/l","B",42.850556,-78.80916
"01-CAZE-1.1","N","2001-07-31 8:00","CHLORIDE",92.8,"mg/l","B",42.850556,-78.80916
"01-CAZE-1.1","N","2006-09-25 10:30","CHLORIDE",33.8,"mg/l","B",42.850556,-78.80916
"01-CAZE-1.1","N","2006-11-06 11:00","CHLORIDE",40.4,"mg/l","B",42.850556,-78.80916
"01-CAZE_E-0.3","N","2011-04-13 11:30","CHLORIDE",56.1,"mg/l","B",42.75729,-78.64475
"01-CAZE_E-0.3","N","2011-06-30 11:40","CHLORIDE",48.6,"mg/l","B",42.75729,-78.64475
"01-CAZE_E-0.3","N","2011-07-21 10:50","CHLORIDE",94.9,"mg/l","B",42.75729,-78.64475
"01-CAZE_E-0.3","N","2011-09-15 11:40","CHLORIDE",102,"mg/l","B",42.75729,-78.64475
"01-CAZE_E-0.3","N","2011-08-18 11:40","CHLORIDE",88.5,"mg/l","B",42.75729,-78.64475
"01-CAZE_E-0.3","N","2011-06-13 12:25","CHLORIDE",77.5,"mg/l","B",42.75729,-78.64475
"01-CAZE_E-0.3","N","2011-11-02 11:30","CHLORIDE",59.3,"mg/l","B",42.75729,-78.64475
"01-CAZE_E-0.3","N","2011-10-13 11:45","CHLORIDE",93.6,"mg/l","B",42.75729,-78.64475
"01-CAZE_E-0.3","N","2011-05-25 11:50","CHLORIDE",40.2,"mg/l","B",42.75729,-78.64475
"01-CAZE_E-0.3","N","2011-05-04 11:30","CHLORIDE",26.1,"mg/l","B",42.75729,-78.64475
"01-CHAU-0.4","N","2001-07-02 9:00","CHLORIDE",15.4,"mg/l","B",42.33696,-79.60059
"01-CHAU-0.4","N","2001-10-02 9:00","CHLORIDE",23.5,"mg/l","B",42.33696,-79.60059
"01-CHAU-0.4","N","2001-11-14 9:00","CHLORIDE",22.3,"mg/l","B",42.33696,-79.60059
"01-CHAU-0.4","N","2001-06-06 9:00","CHLORIDE",16.6,"mg/l","B",42.33696,-79.60059
"01-CHAU-0.4","N","2001-08-15 9:00","CHLORIDE",46.7,"mg/l","B",42.33696,-79.60059
"01-CHAU-0.4","N","2011-10-12 9:10","CHLORIDE",24.3,"mg/l","B",42.33696,-79.60059
"01-CHAU-0.4","N","2001-10-25 9:00","CHLORIDE",16.8,"mg/l","B",42.33696,-79.60059
"01-CHAU-0.4","N","2001-07-24 9:00","CHLORIDE",38,"mg/l","B",42.33696,-79.60059
"01-CHAU-0.4","N","2011-08-17 9:10","CHLORIDE",26.5,"mg/l","B",42.33696,-79.60059
"01-CHAU-0.4","N","2001-04-18 10:00","CHLORIDE",12.7,"mg/l","B",42.33696,-79.60059
"01-CHAU-0.4","N","2011-06-14 9:50","CHLORIDE",14.8,"mg/l","B",42.33696,-79.60059
"01-CHAU-0.4","N","2011-04-12 10:00","CHLORIDE",15.5,"mg/l","B",42.33696,-79.60059
"01-CHAU-0.4","N","2011-05-03 9:30","CHLORIDE",14.7,"mg/l","B",42.33696,-79.60059
"01-CHAU-0.4","N","2001-05-10 9:00","CHLORIDE",18.8,"mg/l","B",42.33696,-79.60059
"01-CHAU-0.4","N","2011-06-28 10:00","CHLORIDE",17.6,"mg/l","B",42.33696,-79.60059
"01-CHAU-0.4","N","2001-09-19 9:00","CHLORIDE",43,"mg/l","B",42.33696,-79.60059
"01-CHAU-0.4","N","2011-07-20 9:00","CHLORIDE",29.6,"mg/l","B",42.33696,-79.60059
"01-CHAU-0.4","N","2011-11-01 9:10","CHLORIDE",11.2,"mg/l","B",42.33696,-79.60059
"01-CHAU-0.4","N","2011-09-12 9:55","CHLORIDE",16,"mg/l","B",42.33696,-79.60059
"01-CHAU-0.4","N","2011-05-24 9:00","CHLORIDE",3.3,"mg/l","B",42.33696,-79.60059
"01-CLAR-0.6","N","2006-05-24 11:15","CHLORIDE",50.8,"mg/l","B",42.5429,-79.01499
"01-CLAR-0.6","N","2006-11-08 11:45","CHLORIDE",29.7,"mg/l","B",42.5429,-79.01499
"01-CLAR-0.6","N","2006-09-26 11:30","CHLORIDE",29.3,"mg/l","B",42.5429,-79.01499
"01-CLAR-0.6","N","2006-10-16 11:45","CHLORIDE",30.1,"mg/l","B",42.5429,-79.01499
"01-CLAR-0.6","N","2006-08-14 11:15","CHLORIDE",41,"mg/l","B",42.5429,-79.01499
"01-CLAR-0.6","N","2006-06-12 13:30","CHLORIDE",45.9,"mg/l","B",42.5429,-79.01499
"01-CLAR-0.6","N","2006-04-05 11:50","CHLORIDE",42.3,"mg/l","B",42.5429,-79.01499
"01-CLAR-0.6","N","2006-09-07 11:10","CHLORIDE",34.8,"mg/l","B",42.5429,-79.01499
"01-CLAR-0.6","N","2006-05-04 11:20","CHLORIDE",44.8,"mg/l","B",42.5429,-79.01499
"01-CLAR-0.6","N","2006-07-10 11:50","CHLORIDE",43.8,"mg/l","B",42.5429,-79.01499
