OBJECTID,site_id,BASIN,ECO_REGION,HUC6_NAME,sample_date,chemical_name,result_value,result_unit,adj_result_value,Lat,Long,Eco_Region_Lvl_III,Class_A
38,01-BUFC-2.2,1,7,Eastern Lake Erie,2006-05-02 8:30,chloride (as cl),47.6,mg/l,47.6,42.85474,-78.75507,,F
39,01-BUFC-2.2,1,7,Eastern Lake Erie,2006-08-16 8:20,chloride (as cl),45.5,mg/l,45.5,42.85474,-78.75507,,F
40,01-BUFC-37.8,1,7,Eastern Lake Erie,2016-10-25 9:00,chloride (as cl),22,mg/l,22,42.64,-78.462,,T
41,01-BUFC-37.8,1,7,Eastern Lake Erie,2016-05-10 13:00,chloride (as cl),21.1,mg/l,21.1,42.64,-78.462,,T
42,01-BUFC-37.8,1,7,Eastern Lake Erie,2016-06-15 13:00,chloride (as cl),22.9,mg/l,22.9,42.64,-78.462,,T
43,01-BUFC-37.8,1,7,Eastern Lake Erie,2016-08-03 12:00,chloride (as cl),21,mg/l,21,42.64,-78.462,,T
44,01-BUFC-37.8,1,7,Eastern Lake Erie,2016-09-20 12:00,chloride (as cl),19.4,mg/l,19.4,42.64,-78.462,,T
45,01-BUFF-1.7,1,7,Eastern Lake Erie,2008-04-22 13:00,chloride (as cl),63.3,mg/l,63.3,42.86194,-78.86787,,F
46,01-BUFF-1.7,1,7,Eastern Lake Erie,2011-09-15 13:30,chloride (as cl),56.6,mg/l,56.6,42.86194,-78.86787,,F
47,01-BUFF-1.7,1,7,Eastern Lake Erie,2013-07-02 13:15,chloride (as cl),57.8,mg/l,57.8,42.86194,-78.86787,,F
48,01-BUFF-1.7,1,7,Eastern Lake Erie,2003-10-29 10:00,chloride (as cl),35.1,mg/l,35.1,42.86194,-78.86787,,F
49,01-BUFF-1.7,1,7,Eastern Lake Erie,2004-08-16 10:00,chloride (as cl),56.4,mg/l,56.4,42.86194,-78.86787,,F
50,01-BUFF-1.7,1,7,Eastern Lake Erie,2006-08-16 10:40,chloride (as cl),31.4,mg/l,31.4,42.86194,-78.86787,,F
51,01-BUFF-1.7,1,7,Eastern Lake Erie,2008-07-15 12:50,chloride (as cl),69.9,mg/l,69.9,42.86194,-78.86787,,F
52,01-BUFF-1.7,1,7,Eastern Lake Erie,2013-05-08 13:15,chloride (as cl),44,mg/l,44,42.86194,-78.86787,,F
53,01-BUFF-1.7,1,7,Eastern Lake Erie,2015-04-28 13:00,chloride (as cl),65.3,mg/l,65.3,42.86194,-78.86787,,F
54,01-BUFF-1.7,1,7,Eastern Lake Erie,2018-06-12 16:00,chloride (as cl),44.2,mg/l,44.2,42.86194,-78.86787,,F
55,01-BUFF-1.7,1,7,Eastern Lake Erie,2005-10-26 10:00,chloride (as cl),21,mg/l,21,42.86194,-78.86787,,F
56,01-BUFF-1.7,1,7,Eastern Lake Erie,2006-09-25 10:55,chloride (as cl),47,mg/l,47,42.86194,-78.86787,,F
57,01-BUFF-1.7,1,7,Eastern Lake Erie,2004-10-05 10:00,chloride (as cl),48.4,mg/l,48.4,42.86194,-78.86787,,F
58,01-BUFF-1.7,1,7,Eastern Lake Erie,2006-10-18 11:15,chloride (as cl),40.9,mg/l,40.9,42.86194,-78.86787,,F
59,01-BUFF-1.7,1,7,Eastern Lake Erie,2015-08-11 12:00,chloride (as cl),69.9,mg/l,69.9,42.86194,-78.86787,,F
60,01-BUFF-1.7,1,7,Eastern Lake Erie,2016-10-24 13:00,chloride (as cl),38.7,mg/l,38.7,42.86194,-78.86787,,F
61,01-BUFF-1.7,1,7,Eastern Lake Erie,2009-09-22 7:45,chloride (as cl),48.6,mg/l,48.6,42.86194,-78.86787,,F
62,01-BUFF-1.7,1,7,Eastern Lake Erie,2009-11-03 7:50,chloride (as cl),25,mg/l,25,42.86194,-78.86787,,F
63,01-BUFF-1.7,1,7,Eastern Lake Erie,2011-05-04 13:00,chloride (as cl),20.9,mg/l,20.9,42.86194,-78.86787,,F
64,01-BUFF-1.7,1,7,Eastern Lake Erie,2008-05-14 13:20,chloride (as cl),63.1,mg/l,63.1,42.86194,-78.86787,,F
65,01-BUFF-1.7,1,7,Eastern Lake Erie,2008-06-24 13:00,chloride (as cl),47,mg/l,47,42.86194,-78.86787,,F
66,01-BUFF-1.7,1,7,Eastern Lake Erie,2010-10-19 8:00,chloride (as cl),51.2,mg/l,51.2,42.86194,-78.86787,,F
67,01-BUFF-1.7,1,7,Eastern Lake Erie,2015-06-23 13:00,chloride (as cl),43.4,mg/l,43.4,42.86194,-78.86787,,F
68,01-BUFF-1.7,1,7,Eastern Lake Erie,2011-10-13 13:20,chloride (as cl),56.8,mg/l,56.8,42.86194,-78.86787,,F
69,01-BUFF-1.7,1,7,Eastern Lake Erie,2008-10-21 12:45,chloride (as cl),32.5,mg/l,32.5,42.86194,-78.86787,,F
70,01-BUFF-1.7,1,7,Eastern Lake Erie,2002-06-27 8:00,chloride (as cl),36.6,mg/l,36.6,42.86194,-78.86787,,F
71,01-BUFF-1.7,1,7,Eastern Lake Erie,2012-04-17 10:45,chloride (as cl),59.2,mg/l,59.2,42.86194,-78.86787,,F
72,01-BUFF-1.7,1,7,Eastern Lake Erie,2004-10-26 10:00,chloride (as cl),34.2,mg/l,34.2,42.86194,-78.86787,,F
73,01-BUFF-1.7,1,7,Eastern Lake Erie,2001-07-31 7:00,chloride (as cl),59.6,mg/l,59.6,42.86194,-78.86787,,F
74,01-BUFF-1.7,1,7,Eastern Lake Erie,2014-06-24 13:30,chloride (as cl),42.3,mg/l,42.3,42.86194,-78.86787,,F
75,01-BUFF-1.7,1,7,Eastern Lake Erie,2001-08-14 7:00,chloride (as cl),54.6,mg/l,54.6,42.86194,-78.86787,,F
76,01-BUFF-1.7,1,7,Eastern Lake Erie,2004-06-21 10:00,chloride (as cl),60.9,mg/l,60.9,42.86194,-78.86787,,F
77,01-BUFF-1.7,1,7,Eastern Lake Erie,2017-08-14 12:00,chloride (as cl),50,mg/l,50,42.86194,-78.86787,,F
78,01-BUFF-1.7,1,7,Eastern Lake Erie,2016-06-15 13:00,chloride (as cl),54.1,mg/l,54.1,42.86194,-78.86787,,F
79,01-BUFF-1.7,1,7,Eastern Lake Erie,2011-07-21 12:05,chloride (as cl),45.8,mg/l,45.8,42.86194,-78.86787,,F
80,01-BUFF-1.7,1,7,Eastern Lake Erie,2006-05-02 11:20,chloride (as cl),61.6,mg/l,61.6,42.86194,-78.86787,,F
81,01-BUFF-1.7,1,7,Eastern Lake Erie,2001-09-04 13:00,chloride (as cl),73,mg/l,73,42.86194,-78.86787,,F
82,01-BUFF-1.7,1,7,Eastern Lake Erie,2005-09-13 11:00,chloride (as cl),32.1,mg/l,32.1,42.86194,-78.86787,,F
83,01-BUFF-1.7,1,7,Eastern Lake Erie,2013-09-17 13:30,chloride (as cl),67,mg/l,67,42.86194,-78.86787,,F
84,01-BUFF-1.7,1,7,Eastern Lake Erie,2019-10-21 16:00,chloride (as cl),38.1,mg/l,38.1,42.86194,-78.86787,,F
85,01-BUFF-1.7,1,7,Eastern Lake Erie,2005-07-28 10:00,chloride (as cl),61,mg/l,61,42.86194,-78.86787,,F
86,01-BUFF-1.7,1,7,Eastern Lake Erie,2009-06-23 7:40,chloride (as cl),51,mg/l,51,42.86194,-78.86787,,F
87,01-BUFF-1.7,1,7,Eastern Lake Erie,2012-10-15 10:40,chloride (as cl),66.4,mg/l,66.4,42.86194,-78.86787,,F
88,01-BUFF-1.7,1,7,Eastern Lake Erie,2009-08-11 8:00,chloride (as cl),14,mg/l,14,42.86194,-78.86787,,F
89,01-BUFF-1.7,1,7,Eastern Lake Erie,2019-04-17 16:00,chloride (as cl),52.2,mg/l,52.2,42.86194,-78.86787,,F
90,01-BUFF-1.7,1,7,Eastern Lake Erie,2001-10-31 10:00,chloride (as cl),58.6,mg/l,58.6,42.86194,-78.86787,,F
91,01-BUFF-1.7,1,7,Eastern Lake Erie,2007-10-30 8:15,chloride (as cl),78.8,mg/l,78.8,42.86194,-78.86787,,F
92,01-BUFF-1.7,1,7,Eastern Lake Erie,2002-10-31 10:00,chloride (as cl),44,mg/l,44,42.86194,-78.86787,,F
93,01-BUFF-1.7,1,7,Eastern Lake Erie,2003-08-19 10:00,chloride (as cl),41.9,mg/l,41.9,42.86194,-78.86787,,F
94,01-BUFF-1.7,1,7,Eastern Lake Erie,2010-09-27 8:10,chloride (as cl),68.7,mg/l,68.7,42.86194,-78.86787,,F
95,01-BUFF-1.7,1,7,Eastern Lake Erie,2008-09-03 13:00,chloride (as cl),54.3,mg/l,54.3,42.86194,-78.86787,,F
96,01-BUFF-1.7,1,7,Eastern Lake Erie,2015-10-06 13:00,chloride (as cl),24.2,mg/l,24.2,42.86194,-78.86787,,F
97,01-BUFF-1.7,1,7,Eastern Lake Erie,2019-08-15 16:00,chloride (as cl),55.6,mg/l,55.6,42.86194,-78.86787,,F
98,01-BUFF-1.7,1,7,Eastern Lake Erie,2007-09-19 12:00,chloride (as cl),70.6,mg/l,70.6,42.86194,-78.86787,,F
99,01-BUFF-1.7,1,7,Eastern Lake Erie,2018-10-15 16:00,chloride (as cl),30.7,mg/l,30.7,42.86194,-78.86787,,F
100,01-BUFF-1.7,1,7,Eastern Lake Erie,2012-05-23 10:50,chloride (as cl),42.9,mg/l,42.9,42.86194,-78.86787,,F
101,01-BUFF-1.7,1,7,Eastern Lake Erie,2002-08-06 10:00,chloride (as cl),55.6,mg/l,55.6,42.86194,-78.86787,,F
102,01-BUFF-1.7,1,7,Eastern Lake Erie,2014-10-07 13:45,chloride (as cl),68.4,mg/l,68.4,42.86194,-78.86787,,F
103,01-BUFF-1.7,1,7,Eastern Lake Erie,2013-04-16 13:30,chloride (as cl),48.5,mg/l,48.5,42.86194,-78.86787,,F
104,01-BUFF-1.7,1,7,Eastern Lake Erie,2005-04-19,chloride (as cl),60.9,mg/l,60.9,42.86194,-78.86787,,F
105,01-BUFF-1.7,1,7,Eastern Lake Erie,2014-04-29 13:45,chloride (as cl),66.9,mg/l,66.9,42.86194,-78.86787,,F
106,01-BUFF-1.7,1,7,Eastern Lake Erie,2010-08-09 8:00,chloride (as cl),50.2,mg/l,50.2,42.86194,-78.86787,,F
107,01-BUFF-1.7,1,7,Eastern Lake Erie,2003-04-23 10:00,chloride (as cl),74.7,mg/l,74.7,42.86194,-78.86787,,F
108,01-BUFF-1.7,1,7,Eastern Lake Erie,2014-08-12 13:30,chloride (as cl),29.3,mg/l,29.3,42.86194,-78.86787,,F
109,01-BUFF-1.7,1,7,Eastern Lake Erie,2004-05-12 10:00,chloride (as cl),41.2,mg/l,41.2,42.86194,-78.86787,,F
110,01-BUFF-1.7,1,7,Eastern Lake Erie,2018-08-15 16:00,chloride (as cl),48.9,mg/l,48.9,42.86194,-78.86787,,F
111,01-BUFF-1.7,1,7,Eastern Lake Erie,2003-05-13 10:00,chloride (as cl),50,mg/l,50,42.86194,-78.86787,,F
112,01-BUFF-1.7,1,7,Eastern Lake Erie,2009-04-21 13:10,chloride (as cl),60.6,mg/l,60.6,42.86194,-78.86787,,F
113,01-BUFF-1.7,1,7,Eastern Lake Erie,2009-05-12 13:05,chloride (as cl),59.7,mg/l,59.7,42.86194,-78.86787,,F
114,01-BUFF-1.7,1,7,Eastern Lake Erie,2006-07-13 10:30,chloride (as cl),49.6,mg/l,49.6,42.86194,-78.86787,,F
115,01-BUFF-1.7,1,7,Eastern Lake Erie,2012-07-02 11:00,chloride (as cl),35.9,mg/l,35.9,42.86194,-78.86787,,F
116,01-BUFF-1.7,1,7,Eastern Lake Erie,2013-05-28 13:00,chloride (as cl),40.1,mg/l,40.1,42.86194,-78.86787,,F
117,01-BUFF-1.7,1,7,Eastern Lake Erie,2005-06-21 10:00,chloride (as cl),41.1,mg/l,41.1,42.86194,-78.86787,,F
118,01-BUFF-1.7,1,7,Eastern Lake Erie,2003-06-23 11:00,chloride (as cl),45.7,mg/l,45.7,42.86194,-78.86787,,F
119,01-BUFF-1.7,1,7,Eastern Lake Erie,2011-06-13 7:55,chloride (as cl),55.8,mg/l,55.8,42.86194,-78.86787,,F
120,01-BUFF-1.7,1,7,Eastern Lake Erie,2018-04-18 16:00,chloride (as cl),85.8,mg/l,85.8,42.86194,-78.86787,,F
121,01-BUFF-1.7,1,7,Eastern Lake Erie,2002-04-23 10:00,chloride (as cl),45.5,mg/l,45.5,42.86194,-78.86787,,F
122,01-BUFF-1.7,1,7,Eastern Lake Erie,2017-10-17 12:00,chloride (as cl),42.3,mg/l,42.3,42.86194,-78.86787,,F
123,01-BUFF-1.7,1,7,Eastern Lake Erie,2005-05-10 10:00,chloride (as cl),51.3,mg/l,51.3,42.86194,-78.86787,,F
124,01-BUFF-1.7,1,7,Eastern Lake Erie,2002-09-18 8:00,chloride (as cl),54.8,mg/l,54.8,42.86194,-78.86787,,F
125,01-BUFF-1.7,1,7,Eastern Lake Erie,2003-09-16 10:00,chloride (as cl),57.5,mg/l,57.5,42.86194,-78.86787,,F
126,01-BUFF-1.7,1,7,Eastern Lake Erie,2001-06-04 13:00,chloride (as cl),81.5,mg/l,81.5,42.86194,-78.86787,,F
127,01-BUFF-1.7,1,7,Eastern Lake Erie,2012-09-04 10:45,chloride (as cl),57,mg/l,57,42.86194,-78.86787,,F
128,01-BUFF-1.7,1,7,Eastern Lake Erie,2017-06-14 13:00,chloride (as cl),41.2,mg/l,41.2,42.86194,-78.86787,,F
129,01-BUFF-1.7,1,7,Eastern Lake Erie,2007-07-24 11:00,chloride (as cl),64.4,mg/l,64.4,42.86194,-78.86787,,F
130,01-BUFF-1.7,1,7,Eastern Lake Erie,2010-05-10 8:00,chloride (as cl),40.8,mg/l,40.8,42.86194,-78.86787,,F
131,01-BUFF-1.7,1,7,Eastern Lake Erie,2013-10-07 11:30,chloride (as cl),57.9,mg/l,57.9,42.86194,-78.86787,,F
132,01-BUFF-1.7,1,7,Eastern Lake Erie,2019-06-13 16:00,chloride (as cl),54.6,mg/l,54.6,42.86194,-78.86787,,F
133,01-BUFF-1.7,1,7,Eastern Lake Erie,2010-06-08 8:00,chloride (as cl),24.8,mg/l,24.8,42.86194,-78.86787,,F
134,01-BUFF-1.7,1,7,Eastern Lake Erie,2007-05-15 11:00,chloride (as cl),42.4,mg/l,42.4,42.86194,-78.86787,,F
135,01-BUFF-1.7,1,7,Eastern Lake Erie,2006-05-22 11:05,chloride (as cl),73,mg/l,73,42.86194,-78.86787,,F
136,01-BUFF-1.7,1,7,Eastern Lake Erie,2004-04-20 10:00,chloride (as cl),69.6,mg/l,69.6,42.86194,-78.86787,,F
137,01-BUFF-1.7,1,7,Eastern Lake Erie,2016-08-01 13:00,chloride (as cl),58.6,mg/l,58.6,42.86194,-78.86787,,F
138,01-BUFF-1.7,1,7,Eastern Lake Erie,2016-04-20 13:00,chloride (as cl),24,mg/l,24,42.86194,-78.86787,,F
139,01-BUFF-1.7,1,7,Eastern Lake Erie,2002-05-14 10:00,chloride (as cl),14.4,mg/l,14.4,42.86194,-78.86787,,F
140,01-BUFF-1.7,1,7,Eastern Lake Erie,2012-06-11 11:00,chloride (as cl),50.1,mg/l,50.1,42.86194,-78.86787,,F
141,01-BUFF-1.7,1,7,Eastern Lake Erie,2016-04-19 13:00,chloride (as cl),63,mg/l,63,42.86194,-78.86787,,F
142,01-BUFF-1.7,1,7,Eastern Lake Erie,2011-05-25 13:15,chloride (as cl),23.1,mg/l,23.1,42.86194,-78.86787,,F
143,01-BUFF-1.7,1,7,Eastern Lake Erie,2001-05-17 10:00,chloride (as cl),63.1,mg/l,63.1,42.86194,-78.86787,,F
144,01-BUFF-1.7,1,7,Eastern Lake Erie,2010-04-15 8:00,chloride (as cl),68.6,mg/l,68.6,42.86194,-78.86787,,F
145,01-CATT-2.0,1,7,Eastern Lake Erie,2001-04-19 11:00,chloride (as cl),23.7,mg/l,23.7,42.5685,-79.10426,,F
146,01-CATT-2.0,1,7,Eastern Lake Erie,2001-05-10 11:00,chloride (as cl),31,mg/l,31,42.5685,-79.10426,,F
147,01-CATT-2.0,1,7,Eastern Lake Erie,2011-11-01 11:45,chloride (as cl),23,mg/l,23,42.5685,-79.10426,,F
148,01-CATT-2.0,1,7,Eastern Lake Erie,2006-05-24 8:30,chloride (as cl),32.9,mg/l,32.9,42.5685,-79.10426,,F
149,01-CATT-2.0,1,7,Eastern Lake Erie,2006-05-04 8:20,chloride (as cl),33.9,mg/l,33.9,42.5685,-79.10426,,F
150,01-CATT-2.0,1,7,Eastern Lake Erie,2001-06-06 10:00,chloride (as cl),26.9,mg/l,26.9,42.5685,-79.10426,,F
151,01-CATT-2.0,1,7,Eastern Lake Erie,2011-06-28 11:30,chloride (as cl),28.2,mg/l,28.2,42.5685,-79.10426,,F
152,01-CATT-2.0,1,7,Eastern Lake Erie,2011-06-14 8:40,chloride (as cl),28.2,mg/l,28.2,42.5685,-79.10426,,F
153,01-CATT-2.0,1,7,Eastern Lake Erie,2001-10-02 12:00,chloride (as cl),34.7,mg/l,34.7,42.5685,-79.10426,,F
154,01-CATT-2.0,1,7,Eastern Lake Erie,2011-09-12 11:35,chloride (as cl),32.5,mg/l,32.5,42.5685,-79.10426,,F
155,01-CATT-2.0,1,7,Eastern Lake Erie,2006-07-10 8:25,chloride (as cl),38.8,mg/l,38.8,42.5685,-79.10426,,F
156,01-CATT-2.0,1,7,Eastern Lake Erie,2001-11-14 10:00,chloride (as cl),32.1,mg/l,32.1,42.5685,-79.10426,,F
157,01-CATT-2.0,1,7,Eastern Lake Erie,2011-04-12 11:40,chloride (as cl),27.8,mg/l,27.8,42.5685,-79.10426,,F
158,01-CATT-2.0,1,7,Eastern Lake Erie,2011-05-24 10:45,chloride (as cl),10.8,mg/l,10.8,42.5685,-79.10426,,F
159,01-CATT-2.0,1,7,Eastern Lake Erie,2011-07-20 10:40,chloride (as cl),38.4,mg/l,38.4,42.5685,-79.10426,,F
160,01-CATT-2.0,1,7,Eastern Lake Erie,2011-08-17 10:30,chloride (as cl),35.5,mg/l,35.5,42.5685,-79.10426,,F
161,01-CATT-2.0,1,7,Eastern Lake Erie,2006-11-08 8:30,chloride (as cl),21.5,mg/l,21.5,42.5685,-79.10426,,F
162,01-CATT-2.0,1,7,Eastern Lake Erie,2001-07-02 13:00,chloride (as cl),31.2,mg/l,31.2,42.5685,-79.10426,,F
163,01-CATT-2.0,1,7,Eastern Lake Erie,2006-10-16 8:30,chloride (as cl),22.1,mg/l,22.1,42.5685,-79.10426,,F
164,01-CATT-2.0,1,7,Eastern Lake Erie,2006-04-05 0:25,chloride (as cl),24.4,mg/l,24.4,42.5685,-79.10426,,F
165,01-CATT-2.0,1,7,Eastern Lake Erie,2011-10-12 11:20,chloride (as cl),34.3,mg/l,34.3,42.5685,-79.10426,,F
166,01-CATT-2.0,1,7,Eastern Lake Erie,2001-08-15 11:00,chloride (as cl),34.9,mg/l,34.9,42.5685,-79.10426,,F
167,01-CATT-2.0,1,7,Eastern Lake Erie,2011-05-03 11:25,chloride (as cl),23.7,mg/l,23.7,42.5685,-79.10426,,F
168,01-CATT-2.0,1,7,Eastern Lake Erie,2001-09-19 11:00,chloride (as cl),35.2,mg/l,35.2,42.5685,-79.10426,,F
169,01-CATT-2.0,1,7,Eastern Lake Erie,2006-08-14 8:15,chloride (as cl),37,mg/l,37,42.5685,-79.10426,,F
170,01-CATT-2.0,1,7,Eastern Lake Erie,2006-06-12 14:00,chloride (as cl),38.2,mg/l,38.2,42.5685,-79.10426,,F
171,01-CATT-2.0,1,7,Eastern Lake Erie,2006-09-26 8:25,chloride (as cl),21.1,mg/l,21.1,42.5685,-79.10426,,F
172,01-CATT-2.0,1,7,Eastern Lake Erie,2001-10-25 11:00,chloride (as cl),32,mg/l,32,42.5685,-79.10426,,F
173,01-CATT-2.0,1,7,Eastern Lake Erie,2006-09-07 11:45,chloride (as cl),24.1,mg/l,24.1,42.5685,-79.10426,,F
174,01-CATT-2.0,1,7,Eastern Lake Erie,2001-07-24 11:00,chloride (as cl),26.1,mg/l,26.1,42.5685,-79.10426,,F
175,01-CATT-64.4,1,7,Eastern Lake Erie,2001-10-24 11:00,chloride (as cl),27.9,mg/l,27.9,42.5693,-78.34674,,F
176,01-CATT-64.4,1,7,Eastern Lake Erie,2001-10-02 14:00,chloride (as cl),33.9,mg/l,33.9,42.5693,-78.34674,,F
177,01-CATT-64.4,1,7,Eastern Lake Erie,2001-11-13 8:00,chloride (as cl),28.5,mg/l,28.5,42.5693,-78.34674,,F
178,01-CATT-64.4,1,7,Eastern Lake Erie,2001-07-23 12:00,chloride (as cl),35.8,mg/l,35.8,42.5693,-78.34674,,F
179,01-CATT-64.4,1,7,Eastern Lake Erie,2001-08-14 12:00,chloride (as cl),35.7,mg/l,35.7,42.5693,-78.34674,,F
180,01-CATT-64.4,1,7,Eastern Lake Erie,2001-05-09 12:00,chloride (as cl),22.9,mg/l,22.9,42.5693,-78.34674,,F
181,01-CATT-64.4,1,7,Eastern Lake Erie,2001-04-19 9:00,chloride (as cl),17.3,mg/l,17.3,42.5693,-78.34674,,F
182,01-CATT-64.4,1,7,Eastern Lake Erie,2001-07-02 16:00,chloride (as cl),25.7,mg/l,25.7,42.5693,-78.34674,,F
183,01-CATT-64.4,1,7,Eastern Lake Erie,2001-06-04 11:00,chloride (as cl),16.5,mg/l,16.5,42.5693,-78.34674,,F
184,01-CATT-64.4,1,7,Eastern Lake Erie,2001-09-20 10:00,chloride (as cl),36.8,mg/l,36.8,42.5693,-78.34674,,F
185,01-CATT_S-12.6,1,7,Eastern Lake Erie,2006-09-26 10:25,chloride (as cl),13.6,mg/l,13.6,42.356,-78.83286,,F
186,01-CATT_S-12.6,1,7,Eastern Lake Erie,2006-08-14 10:20,chloride (as cl),22.7,mg/l,22.7,42.356,-78.83286,,F
187,01-CATT_S-12.6,1,7,Eastern Lake Erie,2006-10-16 10:25,chloride (as cl),11.7,mg/l,11.7,42.356,-78.83286,,F
188,01-CATT_S-12.6,1,7,Eastern Lake Erie,2006-07-10 10:45,chloride (as cl),24.1,mg/l,24.1,42.356,-78.83286,,F
189,01-CATT_S-12.6,1,7,Eastern Lake Erie,2006-05-04 10:10,chloride (as cl),19.7,mg/l,19.7,42.356,-78.83286,,F
