"LAKE_WATERBODY_NAME","SAMPLE_DATE","SAMPLE_TIME","INFORMATION_TYPE","CHARACTERISTIC_NAME","RSLT_RESULT_SAMPLE_FRACTION","RSLT_RESULT_UNIT","RSLT_RESULT_VALUE"
"LONG POND",1994-08-23,"1994-08-23 00:00:00","Open Water","ACIDITY, HYDROGEN ION (H+)",NA,NA,2.290868e-08
"LONG POND",1994-08-23,"1994-08-23 00:00:00","Open Water","CHLOROPHYLL A","TOTAL","ug/L",2.94
"LONG POND",1994-08-23,"1994-08-23 00:00:00","Open Water","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.01
"LONG POND",1994-08-23,"1994-08-23 00:00:00","Open Water","PH",NA,"pH units",7.64
"LONG POND",1994-08-23,"1994-08-23 00:00:00","Open Water","PHOSPHORUS, TOTAL","TOTAL","mg/L",0.008
"LONG POND",1994-08-23,"1994-08-23 00:00:00","Open Water","SPECIFIC CONDUCTANCE",NA,"uS/cm",47
"LONG POND",1994-08-23,"1994-08-23 00:00:00","Open Water","TEMPERATURE",NA,"deg C",18
"LONG POND",1994-08-23,"1994-08-23 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",4
"LONG POND",1994-08-23,"1994-08-23 00:00:00","Secchi Depth","DEPTH, SECCHI DISK DEPTH",NA,"m",3
"LONG POND",1994-09-06,"1994-09-06 00:00:00","Open Water","ACIDITY, HYDROGEN ION (H+)",NA,NA,2.884032e-08
"LONG POND",1994-09-06,"1994-09-06 00:00:00","Open Water","CHLOROPHYLL A","TOTAL","ug/L",2.04
"LONG POND",1994-09-06,"1994-09-06 00:00:00","Open Water","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.01
"LONG POND",1994-09-06,"1994-09-06 00:00:00","Open Water","PH",NA,"pH units",7.54
"LONG POND",1994-09-06,"1994-09-06 00:00:00","Open Water","PHOSPHORUS, TOTAL","TOTAL","mg/L",0.008
"LONG POND",1994-09-06,"1994-09-06 00:00:00","Open Water","SPECIFIC CONDUCTANCE",NA,"uS/cm",48
"LONG POND",1994-09-06,"1994-09-06 00:00:00","Open Water","TEMPERATURE",NA,"deg C",13
"LONG POND",1994-09-06,"1994-09-06 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",2
"LONG POND",1994-09-06,"1994-09-06 00:00:00","Secchi Depth","DEPTH, SECCHI DISK DEPTH",NA,"m",4
"LONG POND",1994-09-20,"1994-09-20 00:00:00","Open Water","ACIDITY, HYDROGEN ION (H+)",NA,NA,6.309573e-08
"LONG POND",1994-09-20,"1994-09-20 00:00:00","Open Water","CHLOROPHYLL A","TOTAL","ug/L",2.74
"LONG POND",1994-09-20,"1994-09-20 00:00:00","Open Water","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.01
"LONG POND",1994-09-20,"1994-09-20 00:00:00","Open Water","PH",NA,"pH units",7.2
"LONG POND",1994-09-20,"1994-09-20 00:00:00","Open Water","PHOSPHORUS, TOTAL","TOTAL","mg/L",0.008
"LONG POND",1994-09-20,"1994-09-20 00:00:00","Open Water","SPECIFIC CONDUCTANCE",NA,"uS/cm",47
"LONG POND",1994-09-20,"1994-09-20 00:00:00","Open Water","TEMPERATURE",NA,"deg C",18
"LONG POND",1994-09-20,"1994-09-20 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",2
"LONG POND",1994-09-20,"1994-09-20 00:00:00","Secchi Depth","DEPTH, SECCHI DISK DEPTH",NA,"m",4.75
"LONG POND",1994-10-04,"1994-10-04 00:00:00","Open Water","ACIDITY, HYDROGEN ION (H+)",NA,NA,2.630268e-08
"LONG POND",1994-10-04,"1994-10-04 00:00:00","Open Water","CHLOROPHYLL A","TOTAL","ug/L",2.16
"LONG POND",1994-10-04,"1994-10-04 00:00:00","Open Water","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.01
"LONG POND",1994-10-04,"1994-10-04 00:00:00","Open Water","PH",NA,"pH units",7.58
"LONG POND",1994-10-04,"1994-10-04 00:00:00","Open Water","PHOSPHORUS, TOTAL","TOTAL","mg/L",0.009
"LONG POND",1994-10-04,"1994-10-04 00:00:00","Open Water","SPECIFIC CONDUCTANCE",NA,"uS/cm",48
"LONG POND",1994-10-04,"1994-10-04 00:00:00","Open Water","TEMPERATURE",NA,"deg C",14
"LONG POND",1994-10-04,"1994-10-04 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",4
"LONG POND",1994-10-04,"1994-10-04 00:00:00","Secchi Depth","DEPTH, SECCHI DISK DEPTH",NA,"m",6.5
"LONG POND",1994-10-18,"1994-10-18 00:00:00","Open Water","ACIDITY, HYDROGEN ION (H+)",NA,NA,2.511886e-08
"LONG POND",1994-10-18,"1994-10-18 00:00:00","Open Water","CHLOROPHYLL A","TOTAL","ug/L",1.94
"LONG POND",1994-10-18,"1994-10-18 00:00:00","Open Water","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.01
"LONG POND",1994-10-18,"1994-10-18 00:00:00","Open Water","PH",NA,"pH units",7.6
"LONG POND",1994-10-18,"1994-10-18 00:00:00","Open Water","SPECIFIC CONDUCTANCE",NA,"uS/cm",48
"LONG POND",1994-10-18,"1994-10-18 00:00:00","Open Water","TEMPERATURE",NA,"deg C",6.5
"LONG POND",1994-10-18,"1994-10-18 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",3
"LONG POND",1994-11-18,"1994-11-18 00:00:00","Open Water","ACIDITY, HYDROGEN ION (H+)",NA,NA,1.513561e-07
"LONG POND",1994-11-18,"1994-11-18 00:00:00","Open Water","CHLOROPHYLL A","TOTAL","ug/L",1.46
"LONG POND",1994-11-18,"1994-11-18 00:00:00","Open Water","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.01
"LONG POND",1994-11-18,"1994-11-18 00:00:00","Open Water","PH",NA,"pH units",6.82
"LONG POND",1994-11-18,"1994-11-18 00:00:00","Open Water","PHOSPHORUS, TOTAL","TOTAL","mg/L",0.012
"LONG POND",1994-11-18,"1994-11-18 00:00:00","Open Water","SPECIFIC CONDUCTANCE",NA,"uS/cm",45
"LONG POND",1994-11-18,"1994-11-18 00:00:00","Open Water","TEMPERATURE",NA,"deg C",8
"LONG POND",1994-11-18,"1994-11-18 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",8
"LONG POND",1995-04-25,"1995-04-25 00:00:00","Open Water","ACIDITY, HYDROGEN ION (H+)",NA,NA,1.148154e-07
"LONG POND",1995-04-25,"1995-04-25 00:00:00","Open Water","CHLOROPHYLL A","TOTAL","ug/L",8.1
"LONG POND",1995-04-25,"1995-04-25 00:00:00","Open Water","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.01
"LONG POND",1995-04-25,"1995-04-25 00:00:00","Open Water","PH",NA,"pH units",6.94
"LONG POND",1995-04-25,"1995-04-25 00:00:00","Open Water","PHOSPHORUS, TOTAL","TOTAL","mg/L",0.009
"LONG POND",1995-04-25,"1995-04-25 00:00:00","Open Water","SPECIFIC CONDUCTANCE",NA,"uS/cm",47
"LONG POND",1995-04-25,"1995-04-25 00:00:00","Open Water","TEMPERATURE",NA,"deg C",9
"LONG POND",1995-04-25,"1995-04-25 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",1
"LONG POND",1995-04-25,"1995-04-25 00:00:00","Secchi Depth","DEPTH, SECCHI DISK DEPTH",NA,"m",7
"LONG POND",1995-05-17,"1995-05-17 00:00:00","Open Water","ACIDITY, HYDROGEN ION (H+)",NA,NA,1.174898e-07
"LONG POND",1995-05-17,"1995-05-17 00:00:00","Open Water","CHLOROPHYLL A","TOTAL","ug/L",1.42
"LONG POND",1995-05-17,"1995-05-17 00:00:00","Open Water","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.01
"LONG POND",1995-05-17,"1995-05-17 00:00:00","Open Water","PH",NA,"pH units",6.93
"LONG POND",1995-05-17,"1995-05-17 00:00:00","Open Water","PHOSPHORUS, TOTAL","TOTAL","mg/L",0.009
"LONG POND",1995-05-17,"1995-05-17 00:00:00","Open Water","SPECIFIC CONDUCTANCE",NA,"uS/cm",47
"LONG POND",1995-05-17,"1995-05-17 00:00:00","Open Water","TEMPERATURE",NA,"deg C",14
"LONG POND",1995-05-17,"1995-05-17 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",4
"LONG POND",1995-05-17,"1995-05-17 00:00:00","Secchi Depth","DEPTH, SECCHI DISK DEPTH",NA,"m",4.5
"LONG POND",1995-05-22,"1995-05-22 00:00:00","Open Water","ACIDITY, HYDROGEN ION (H+)",NA,NA,4.786301e-08
"LONG POND",1995-05-22,"1995-05-22 00:00:00","Open Water","CHLOROPHYLL A","TOTAL","ug/L",2.06
"LONG POND",1995-05-22,"1995-05-22 00:00:00","Open Water","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.01
"LONG POND",1995-05-22,"1995-05-22 00:00:00","Open Water","PH",NA,"pH units",7.32
"LONG POND",1995-05-22,"1995-05-22 00:00:00","Open Water","PHOSPHORUS, TOTAL","TOTAL","mg/L",0.011
"LONG POND",1995-05-22,"1995-05-22 00:00:00","Open Water","SPECIFIC CONDUCTANCE",NA,"uS/cm",47
"LONG POND",1995-05-22,"1995-05-22 00:00:00","Open Water","TEMPERATURE",NA,"deg C",16
"LONG POND",1995-05-22,"1995-05-22 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",4
"LONG POND",1995-05-22,"1995-05-22 00:00:00","Secchi Depth","DEPTH, SECCHI DISK DEPTH",NA,"m",2.75
"LONG POND",1995-06-05,"1995-06-05 00:00:00","Open Water","ACIDITY, HYDROGEN ION (H+)",NA,NA,1.659587e-07
"LONG POND",1995-06-05,"1995-06-05 00:00:00","Open Water","CHLOROPHYLL A","TOTAL","ug/L",1.95
"LONG POND",1995-06-05,"1995-06-05 00:00:00","Open Water","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.01
"LONG POND",1995-06-05,"1995-06-05 00:00:00","Open Water","PH",NA,"pH units",6.78
"LONG POND",1995-06-05,"1995-06-05 00:00:00","Open Water","PHOSPHORUS, TOTAL","TOTAL","mg/L",0.006
"LONG POND",1995-06-05,"1995-06-05 00:00:00","Open Water","SPECIFIC CONDUCTANCE",NA,"uS/cm",47
"LONG POND",1995-06-05,"1995-06-05 00:00:00","Open Water","TEMPERATURE",NA,"deg C",21
"LONG POND",1995-06-05,"1995-06-05 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",2
"LONG POND",1995-06-05,"1995-06-05 00:00:00","Secchi Depth","DEPTH, SECCHI DISK DEPTH",NA,"m",3.25
"LONG POND",1995-06-19,"1995-06-19 00:00:00","Open Water","ACIDITY, HYDROGEN ION (H+)",NA,NA,1.096478e-07
"LONG POND",1995-06-19,"1995-06-19 00:00:00","Open Water","CHLOROPHYLL A","TOTAL","ug/L",1.36
"LONG POND",1995-06-19,"1995-06-19 00:00:00","Open Water","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.01
"LONG POND",1995-06-19,"1995-06-19 00:00:00","Open Water","PH",NA,"pH units",6.96
"LONG POND",1995-06-19,"1995-06-19 00:00:00","Open Water","PHOSPHORUS, TOTAL","TOTAL","mg/L",0.008
"LONG POND",1995-06-19,"1995-06-19 00:00:00","Open Water","SPECIFIC CONDUCTANCE",NA,"uS/cm",48
"LONG POND",1995-06-19,"1995-06-19 00:00:00","Open Water","TEMPERATURE",NA,"deg C",23
"LONG POND",1995-06-19,"1995-06-19 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",3
"LONG POND",1995-06-19,"1995-06-19 00:00:00","Secchi Depth","DEPTH, SECCHI DISK DEPTH",NA,"m",4.5
"LONG POND",1995-07-03,"1995-07-03 00:00:00","Open Water","ACIDITY, HYDROGEN ION (H+)",NA,NA,1.258925e-07
"LONG POND",1995-07-03,"1995-07-03 00:00:00","Open Water","CHLOROPHYLL A","TOTAL","ug/L",1.57
"LONG POND",1995-07-03,"1995-07-03 00:00:00","Open Water","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.01
"LONG POND",1995-07-03,"1995-07-03 00:00:00","Open Water","PH",NA,"pH units",6.9
"LONG POND",1995-07-03,"1995-07-03 00:00:00","Open Water","PHOSPHORUS, TOTAL","TOTAL","mg/L",0.009
"LONG POND",1995-07-03,"1995-07-03 00:00:00","Open Water","SPECIFIC CONDUCTANCE",NA,"uS/cm",48
"LONG POND",1995-07-03,"1995-07-03 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",1
"LONG POND",1995-07-17,"1995-07-17 00:00:00","Open Water","ACIDITY, HYDROGEN ION (H+)",NA,NA,3.981072e-08
"LONG POND",1995-07-17,"1995-07-17 00:00:00","Open Water","CHLOROPHYLL A","TOTAL","ug/L",1.94
"LONG POND",1995-07-17,"1995-07-17 00:00:00","Open Water","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.01
"LONG POND",1995-07-17,"1995-07-17 00:00:00","Open Water","PH",NA,"pH units",7.4
"LONG POND",1995-07-17,"1995-07-17 00:00:00","Open Water","PHOSPHORUS, TOTAL","TOTAL","mg/L",0.008
"LONG POND",1995-07-17,"1995-07-17 00:00:00","Open Water","SPECIFIC CONDUCTANCE",NA,"uS/cm",51
"LONG POND",1995-07-17,"1995-07-17 00:00:00","Open Water","TEMPERATURE",NA,"deg C",26
"LONG POND",1995-07-17,"1995-07-17 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",1
"LONG POND",1995-07-17,"1995-07-17 00:00:00","Secchi Depth","DEPTH, SECCHI DISK DEPTH",NA,"m",4.375
"LONG POND",1995-07-31,"1995-07-31 00:00:00","Open Water","ACIDITY, HYDROGEN ION (H+)",NA,NA,2.398833e-08
"LONG POND",1995-07-31,"1995-07-31 00:00:00","Open Water","CHLOROPHYLL A","TOTAL","ug/L",2.55
"LONG POND",1995-07-31,"1995-07-31 00:00:00","Open Water","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.01
"LONG POND",1995-07-31,"1995-07-31 00:00:00","Open Water","PH",NA,"pH units",7.62
"LONG POND",1995-07-31,"1995-07-31 00:00:00","Open Water","PHOSPHORUS, TOTAL","TOTAL","mg/L",0.008
"LONG POND",1995-07-31,"1995-07-31 00:00:00","Open Water","SPECIFIC CONDUCTANCE",NA,"uS/cm",48
"LONG POND",1995-07-31,"1995-07-31 00:00:00","Open Water","TEMPERATURE",NA,"deg C",26
"LONG POND",1995-07-31,"1995-07-31 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",5
"LONG POND",1995-07-31,"1995-07-31 00:00:00","Secchi Depth","DEPTH, SECCHI DISK DEPTH",NA,"m",3.625
"LONG POND",1995-08-14,"1995-08-14 00:00:00","Open Water","ACIDITY, HYDROGEN ION (H+)",NA,NA,5.011872e-08
"LONG POND",1995-08-14,"1995-08-14 00:00:00","Open Water","CHLOROPHYLL A","TOTAL","ug/L",2.35
"LONG POND",1995-08-14,"1995-08-14 00:00:00","Open Water","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.01
"LONG POND",1995-08-14,"1995-08-14 00:00:00","Open Water","PH",NA,"pH units",7.3
"LONG POND",1995-08-14,"1995-08-14 00:00:00","Open Water","PHOSPHORUS, TOTAL","TOTAL","mg/L",0.011
"LONG POND",1995-08-14,"1995-08-14 00:00:00","Open Water","SPECIFIC CONDUCTANCE",NA,"uS/cm",50
"LONG POND",1995-08-14,"1995-08-14 00:00:00","Open Water","TEMPERATURE",NA,"deg C",26
"LONG POND",1995-08-14,"1995-08-14 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",1
"LONG POND",1995-08-14,"1995-08-14 00:00:00","Secchi Depth","DEPTH, SECCHI DISK DEPTH",NA,"m",5.5
"LONG POND",1995-08-29,"1995-08-29 00:00:00","Open Water","ACIDITY, HYDROGEN ION (H+)",NA,NA,3.715352e-08
"LONG POND",1995-08-29,"1995-08-29 00:00:00","Open Water","CHLOROPHYLL A","TOTAL","ug/L",2.58
"LONG POND",1995-08-29,"1995-08-29 00:00:00","Open Water","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.01
"LONG POND",1995-08-29,"1995-08-29 00:00:00","Open Water","PH",NA,"pH units",7.43
"LONG POND",1995-08-29,"1995-08-29 00:00:00","Open Water","PHOSPHORUS, TOTAL","TOTAL","mg/L",0.006
"LONG POND",1995-08-29,"1995-08-29 00:00:00","Open Water","SPECIFIC CONDUCTANCE",NA,"uS/cm",53
"LONG POND",1995-08-29,"1995-08-29 00:00:00","Open Water","TEMPERATURE",NA,"deg C",21.6
"LONG POND",1995-08-29,"1995-08-29 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",5
"LONG POND",1995-09-11,"1995-09-11 00:00:00","Open Water","ACIDITY, HYDROGEN ION (H+)",NA,NA,5.248075e-08
"LONG POND",1995-09-11,"1995-09-11 00:00:00","Open Water","CHLOROPHYLL A","TOTAL","ug/L",2.2
"LONG POND",1995-09-11,"1995-09-11 00:00:00","Open Water","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.01
"LONG POND",1995-09-11,"1995-09-11 00:00:00","Open Water","PH",NA,"pH units",7.28
"LONG POND",1995-09-11,"1995-09-11 00:00:00","Open Water","PHOSPHORUS, TOTAL","TOTAL","mg/L",0.009
"LONG POND",1995-09-11,"1995-09-11 00:00:00","Open Water","SPECIFIC CONDUCTANCE",NA,"uS/cm",52
"LONG POND",1995-09-11,"1995-09-11 00:00:00","Open Water","TEMPERATURE",NA,"deg C",20
"LONG POND",1995-09-11,"1995-09-11 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",1
"LONG POND",1995-09-25,"1995-09-25 00:00:00","Open Water","ACIDITY, HYDROGEN ION (H+)",NA,NA,5.128614e-08
"LONG POND",1995-09-25,"1995-09-25 00:00:00","Open Water","CHLOROPHYLL A","TOTAL","ug/L",2.83
"LONG POND",1995-09-25,"1995-09-25 00:00:00","Open Water","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.01
"LONG POND",1995-09-25,"1995-09-25 00:00:00","Open Water","PH",NA,"pH units",7.29
"LONG POND",1995-09-25,"1995-09-25 00:00:00","Open Water","PHOSPHORUS, TOTAL","TOTAL","mg/L",0.009
"LONG POND",1995-09-25,"1995-09-25 00:00:00","Open Water","SPECIFIC CONDUCTANCE",NA,"uS/cm",52
"LONG POND",1995-09-25,"1995-09-25 00:00:00","Open Water","TEMPERATURE",NA,"deg C",19
"LONG POND",1995-09-25,"1995-09-25 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",1
"LONG POND",1995-10-23,"1995-10-23 00:00:00","Open Water","ACIDITY, HYDROGEN ION (H+)",NA,NA,3.630781e-08
"LONG POND",1995-10-23,"1995-10-23 00:00:00","Open Water","CHLOROPHYLL A","TOTAL","ug/L",2.28
"LONG POND",1995-10-23,"1995-10-23 00:00:00","Open Water","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.01
"LONG POND",1995-10-23,"1995-10-23 00:00:00","Open Water","PH",NA,"pH units",7.44
"LONG POND",1995-10-23,"1995-10-23 00:00:00","Open Water","PHOSPHORUS, TOTAL","TOTAL","mg/L",0.009
"LONG POND",1995-10-23,"1995-10-23 00:00:00","Open Water","SPECIFIC CONDUCTANCE",NA,"uS/cm",51
"LONG POND",1995-10-23,"1995-10-23 00:00:00","Open Water","TEMPERATURE",NA,"deg C",14
"LONG POND",1995-10-23,"1995-10-23 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",1
"LONG POND",1996-06-06,"1996-06-06 00:00:00","Open Water","ACIDITY, HYDROGEN ION (H+)",NA,NA,1e-07
"LONG POND",1996-06-06,"1996-06-06 00:00:00","Open Water","CHLOROPHYLL A","TOTAL","ug/L",1
"LONG POND",1996-06-06,"1996-06-06 00:00:00","Open Water","PH",NA,"pH units",7
"LONG POND",1996-06-06,"1996-06-06 00:00:00","Open Water","PHOSPHORUS, TOTAL","TOTAL","mg/L",0.01
"LONG POND",1996-06-06,"1996-06-06 00:00:00","Open Water","SPECIFIC CONDUCTANCE",NA,"uS/cm",42
"LONG POND",1996-06-06,"1996-06-06 00:00:00","Open Water","TEMPERATURE",NA,"deg C",17
"LONG POND",1996-06-06,"1996-06-06 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",10
"LONG POND",1996-06-06,"1996-06-06 00:00:00","Secchi Depth","DEPTH, SECCHI DISK DEPTH",NA,"m",5
"LONG POND",1996-06-17,"1996-06-17 00:00:00","Open Water","ACIDITY, HYDROGEN ION (H+)",NA,NA,6.456542e-08
"LONG POND",1996-06-17,"1996-06-17 00:00:00","Open Water","CHLOROPHYLL A","TOTAL","ug/L",1.8
"LONG POND",1996-06-17,"1996-06-17 00:00:00","Open Water","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.01
"LONG POND",1996-06-17,"1996-06-17 00:00:00","Open Water","PH",NA,"pH units",7.19
"LONG POND",1996-06-17,"1996-06-17 00:00:00","Open Water","PHOSPHORUS, TOTAL","TOTAL","mg/L",0.007
"LONG POND",1996-06-17,"1996-06-17 00:00:00","Open Water","SPECIFIC CONDUCTANCE",NA,"uS/cm",44
"LONG POND",1996-06-17,"1996-06-17 00:00:00","Open Water","TEMPERATURE",NA,"deg C",20
"LONG POND",1996-06-17,"1996-06-17 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",5
"LONG POND",1996-06-17,"1996-06-17 00:00:00","Secchi Depth","DEPTH, SECCHI DISK DEPTH",NA,"m",6
"LONG POND",1996-07-08,"1996-07-08 00:00:00","Open Water","ACIDITY, HYDROGEN ION (H+)",NA,NA,4.265795e-08
"LONG POND",1996-07-08,"1996-07-08 00:00:00","Open Water","CHLOROPHYLL A","TOTAL","ug/L",2.3
"LONG POND",1996-07-08,"1996-07-08 00:00:00","Open Water","NITROGEN, NITRATE-NITRITE","TOTAL","mg/L",0.01
"LONG POND",1996-07-08,"1996-07-08 00:00:00","Open Water","PH",NA,"pH units",7.37
"LONG POND",1996-07-08,"1996-07-08 00:00:00","Open Water","PHOSPHORUS, TOTAL","TOTAL","mg/L",0.007
"LONG POND",1996-07-08,"1996-07-08 00:00:00","Open Water","SPECIFIC CONDUCTANCE",NA,"uS/cm",45
"LONG POND",1996-07-08,"1996-07-08 00:00:00","Open Water","TEMPERATURE",NA,"deg C",21
"LONG POND",1996-07-08,"1996-07-08 00:00:00","Open Water","TRUE COLOR","TOTAL","color units",5
"LONG POND",1996-07-08,"1996-07-08 00:00:00","Secchi Depth","DEPTH, SECCHI DISK DEPTH",NA,"m",4
"LONG POND",1996-07-22,"1996-07-22 00:00:00","Open Water","ACIDITY, HYDROGEN ION (H+)",NA,NA,4.570882e-08
