"LAKE_WATERBODY_NAME","SAMPLE_DATE","SAMPLE_TIME","INFORMATION_TYPE","CHARACTERISTIC_NAME","RSLT_RESULT_SAMPLE_FRACTION","RSLT_RESULT_UNIT","RSLT_PROFILE_DEPTH","RSLT_RESULT_VALUE","HS_HAB_STATUS","HS_HAB_STATUS_DATE","HS_HAB_STATUS_REMARK"
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 10:20:00","Depth Profile","DISSOLVED OXYGEN SATURATION",NA,"percent",0,93,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-08-08,"2017-08-08 09:50:00","Depth Profile","DISSOLVED OXYGEN SATURATION",NA,"percent",0,101.5,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 12:10:00","Depth Profile","DISSOLVED OXYGEN SATURATION",NA,"percent",0,135.6,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-08-08,"2017-08-08 11:55:00","Depth Profile","DISSOLVED OXYGEN SATURATION",NA,"percent",0,127.5,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 11:45:00","Depth Profile","DISSOLVED OXYGEN SATURATION",NA,"percent",0,101.9,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-08-08,"2017-08-08 11:00:00","Depth Profile","DISSOLVED OXYGEN SATURATION",NA,"percent",0,106.6,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 10:55:00","Depth Profile","DISSOLVED OXYGEN SATURATION",NA,"percent",0,106.7,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-08-08,"2017-08-08 10:30:00","Depth Profile","DISSOLVED OXYGEN SATURATION",NA,"percent",0,107,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-08-08,"2017-08-08 09:50:00","Depth Profile","OXIDATION REDUCTION POTENTIAL (ORP)",NA,"mV",0,206,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 12:10:00","Depth Profile","OXIDATION REDUCTION POTENTIAL (ORP)",NA,"mV",0,150,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-08-08,"2017-08-08 11:55:00","Depth Profile","OXIDATION REDUCTION POTENTIAL (ORP)",NA,"mV",0,204,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 11:45:00","Depth Profile","OXIDATION REDUCTION POTENTIAL (ORP)",NA,"mV",0,165,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-08-08,"2017-08-08 11:00:00","Depth Profile","OXIDATION REDUCTION POTENTIAL (ORP)",NA,"mV",0,218,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 10:55:00","Depth Profile","OXIDATION REDUCTION POTENTIAL (ORP)",NA,"mV",0,178,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-08-08,"2017-08-08 10:30:00","Depth Profile","OXIDATION REDUCTION POTENTIAL (ORP)",NA,"mV",0,206,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 10:20:00","Depth Profile","OXIDATION REDUCTION POTENTIAL (ORP)",NA,"mV",0,194,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 10:20:00","Depth Profile","PH",NA,"pH units",0,7.49,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-08-08,"2017-08-08 09:50:00","Depth Profile","PH",NA,"pH units",0,7.7,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 12:10:00","Depth Profile","PH",NA,"pH units",0,8.52,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-08-08,"2017-08-08 11:55:00","Depth Profile","PH",NA,"pH units",0,8.2,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 11:45:00","Depth Profile","PH",NA,"pH units",0,7.63,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-08-08,"2017-08-08 11:00:00","Depth Profile","PH",NA,"pH units",0,7.9,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 10:55:00","Depth Profile","PH",NA,"pH units",0,7.89,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-08-08,"2017-08-08 10:30:00","Depth Profile","PH",NA,"pH units",0,7.95,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-08-08,"2017-08-08 09:50:00","Depth Profile","PHYCOCYANIN",NA,"ug/L",0,6020,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 12:10:00","Depth Profile","PHYCOCYANIN",NA,"ug/L",0,18934,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-08-08,"2017-08-08 11:55:00","Depth Profile","PHYCOCYANIN",NA,"ug/L",0,11548,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 11:45:00","Depth Profile","PHYCOCYANIN",NA,"ug/L",0,3995,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-08-08,"2017-08-08 11:00:00","Depth Profile","PHYCOCYANIN",NA,"ug/L",0,3932,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 10:55:00","Depth Profile","PHYCOCYANIN",NA,"ug/L",0,8850,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-08-08,"2017-08-08 10:30:00","Depth Profile","PHYCOCYANIN",NA,"ug/L",0,5463,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 10:20:00","Depth Profile","PHYCOCYANIN",NA,"ug/L",0,3290,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 10:20:00","Depth Profile","SPECIFIC CONDUCTANCE",NA,"uS/cm",0,139.7,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-08-08,"2017-08-08 09:50:00","Depth Profile","SPECIFIC CONDUCTANCE",NA,"uS/cm",0,171.6,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 12:10:00","Depth Profile","SPECIFIC CONDUCTANCE",NA,"uS/cm",0,187.9,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-08-08,"2017-08-08 11:55:00","Depth Profile","SPECIFIC CONDUCTANCE",NA,"uS/cm",0,192.4,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 11:45:00","Depth Profile","SPECIFIC CONDUCTANCE",NA,"uS/cm",0,207.5,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-08-08,"2017-08-08 11:00:00","Depth Profile","SPECIFIC CONDUCTANCE",NA,"uS/cm",0,139.9,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 10:55:00","Depth Profile","SPECIFIC CONDUCTANCE",NA,"uS/cm",0,142.2,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-08-08,"2017-08-08 10:30:00","Depth Profile","SPECIFIC CONDUCTANCE",NA,"uS/cm",0,130.6,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-08-08,"2017-08-08 09:50:00","Depth Profile","TEMPERATURE",NA,"deg C",0,23.15,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 12:10:00","Depth Profile","TEMPERATURE",NA,"deg C",0,20.24,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-08-08,"2017-08-08 11:55:00","Depth Profile","TEMPERATURE",NA,"deg C",0,23.64,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 11:45:00","Depth Profile","TEMPERATURE",NA,"deg C",0,20.05,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-08-08,"2017-08-08 11:00:00","Depth Profile","TEMPERATURE",NA,"deg C",0,22.65,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 10:55:00","Depth Profile","TEMPERATURE",NA,"deg C",0,19.88,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-08-08,"2017-08-08 10:30:00","Depth Profile","TEMPERATURE",NA,"deg C",0,22.94,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 10:20:00","Depth Profile","TEMPERATURE",NA,"deg C",0,19.52,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-06-14,"2017-06-14 10:10:00","Depth Profile","CHLOROPHYLL A (PROBE)",NA,"ug/L",0.1,2.5,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-06-14,"2017-06-14 10:30:00","Depth Profile","CHLOROPHYLL A (PROBE)",NA,"ug/L",0.1,6.41,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-06-14,"2017-06-14 09:38:00","Depth Profile","CHLOROPHYLL A (PROBE)",NA,"ug/L",0.1,1.44,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-06-14,"2017-06-14 10:10:00","Depth Profile","DISSOLVED OXYGEN",NA,"mg/L",0.1,8.37,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-06-14,"2017-06-14 10:30:00","Depth Profile","DISSOLVED OXYGEN",NA,"mg/L",0.1,9.24,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-06-14,"2017-06-14 09:38:00","Depth Profile","DISSOLVED OXYGEN",NA,"mg/L",0.1,9.2,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-06-14,"2017-06-14 10:10:00","Depth Profile","DISSOLVED OXYGEN SATURATION",NA,"percent",0.1,104.2,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-06-14,"2017-06-14 10:30:00","Depth Profile","DISSOLVED OXYGEN SATURATION",NA,"percent",0.1,113.6,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-06-14,"2017-06-14 09:38:00","Depth Profile","DISSOLVED OXYGEN SATURATION",NA,"percent",0.1,111.3,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-06-14,"2017-06-14 10:10:00","Depth Profile","OXIDATION REDUCTION POTENTIAL (ORP)",NA,"mV",0.1,293,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-06-14,"2017-06-14 10:30:00","Depth Profile","OXIDATION REDUCTION POTENTIAL (ORP)",NA,"mV",0.1,294,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-06-14,"2017-06-14 09:38:00","Depth Profile","OXIDATION REDUCTION POTENTIAL (ORP)",NA,"mV",0.1,264,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-06-14,"2017-06-14 10:10:00","Depth Profile","PHYCOCYANIN",NA,"ug/L",0.1,0,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-06-14,"2017-06-14 10:30:00","Depth Profile","PHYCOCYANIN",NA,"ug/L",0.1,0,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-06-14,"2017-06-14 09:38:00","Depth Profile","PHYCOCYANIN",NA,"ug/L",0.1,338,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-06-14,"2017-06-14 10:10:00","Depth Profile","SPECIFIC CONDUCTANCE",NA,"uS/cm",0.1,162.6,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-06-14,"2017-06-14 10:30:00","Depth Profile","SPECIFIC CONDUCTANCE",NA,"uS/cm",0.1,0,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-06-14,"2017-06-14 09:38:00","Depth Profile","SPECIFIC CONDUCTANCE",NA,"uS/cm",0.1,119.9,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-06-14,"2017-06-14 10:10:00","Depth Profile","TEMPERATURE",NA,"deg C",0.1,23.95,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-06-14,"2017-06-14 10:30:00","Depth Profile","TEMPERATURE",NA,"deg C",0.1,23.3,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-06-14,"2017-06-14 09:38:00","Depth Profile","TEMPERATURE",NA,"deg C",0.1,22.46,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-06-14,"2017-06-14 09:15:00","Depth Profile","CHLOROPHYLL A (PROBE)",NA,"ug/L",0.2,0,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-06-14,"2017-06-14 09:15:00","Depth Profile","DISSOLVED OXYGEN SATURATION",NA,"percent",0.2,0,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-06-14,"2017-06-14 09:15:00","Depth Profile","OXIDATION REDUCTION POTENTIAL (ORP)",NA,"mV",0.2,254,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-06-14,"2017-06-14 09:15:00","Depth Profile","PHYCOCYANIN",NA,"ug/L",0.2,0,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-06-14,"2017-06-14 09:15:00","Depth Profile","SPECIFIC CONDUCTANCE",NA,"uS/cm",0.2,150.5,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-06-14,"2017-06-14 09:15:00","Depth Profile","TEMPERATURE",NA,"deg C",0.2,21.96,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 12:10:00","Depth Profile","CHLOROPHYLL A (PROBE)",NA,"ug/L",0.5,4.07,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 11:45:00","Depth Profile","CHLOROPHYLL A (PROBE)",NA,"ug/L",0.5,2.29,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 12:10:00","Depth Profile","DISSOLVED OXYGEN",NA,"mg/L",0.5,11.93,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 11:45:00","Depth Profile","DISSOLVED OXYGEN",NA,"mg/L",0.5,8.97,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 12:10:00","Depth Profile","DISSOLVED OXYGEN SATURATION",NA,"percent",0.5,136.9,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 11:45:00","Depth Profile","DISSOLVED OXYGEN SATURATION",NA,"percent",0.5,101.6,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 12:10:00","Depth Profile","OXIDATION REDUCTION POTENTIAL (ORP)",NA,"mV",0.5,147,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 11:45:00","Depth Profile","OXIDATION REDUCTION POTENTIAL (ORP)",NA,"mV",0.5,165,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 12:10:00","Depth Profile","PH",NA,"pH units",0.5,8.69,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 11:45:00","Depth Profile","PH",NA,"pH units",0.5,7.64,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 12:10:00","Depth Profile","PHYCOCYANIN",NA,"ug/L",0.5,16536,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 11:45:00","Depth Profile","PHYCOCYANIN",NA,"ug/L",0.5,3455,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 12:10:00","Depth Profile","SPECIFIC CONDUCTANCE",NA,"uS/cm",0.5,188.9,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 11:45:00","Depth Profile","SPECIFIC CONDUCTANCE",NA,"uS/cm",0.5,205.8,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 12:10:00","Depth Profile","TEMPERATURE",NA,"deg C",0.5,19.81,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 11:45:00","Depth Profile","TEMPERATURE",NA,"deg C",0.5,19.13,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 10:20:00","Depth Profile","CHLOROPHYLL A (PROBE)",NA,"ug/L",1,4.07,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-06-14,"2017-06-14 10:10:00","Depth Profile","CHLOROPHYLL A (PROBE)",NA,"ug/L",1,4.5,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-08-08,"2017-08-08 09:50:00","Depth Profile","CHLOROPHYLL A (PROBE)",NA,"ug/L",1,6.46,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 12:10:00","Depth Profile","CHLOROPHYLL A (PROBE)",NA,"ug/L",1,4.35,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-06-14,"2017-06-14 10:30:00","Depth Profile","CHLOROPHYLL A (PROBE)",NA,"ug/L",1,10.07,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-08-08,"2017-08-08 11:55:00","Depth Profile","CHLOROPHYLL A (PROBE)",NA,"ug/L",1,3.75,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 11:45:00","Depth Profile","CHLOROPHYLL A (PROBE)",NA,"ug/L",1,1.49,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-06-14,"2017-06-14 09:15:00","Depth Profile","CHLOROPHYLL A (PROBE)",NA,"ug/L",1,2.14,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-08-08,"2017-08-08 11:00:00","Depth Profile","CHLOROPHYLL A (PROBE)",NA,"ug/L",1,7.19,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 10:55:00","Depth Profile","CHLOROPHYLL A (PROBE)",NA,"ug/L",1,6.29,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-06-14,"2017-06-14 09:38:00","Depth Profile","CHLOROPHYLL A (PROBE)",NA,"ug/L",1,3.09,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-08-08,"2017-08-08 10:30:00","Depth Profile","CHLOROPHYLL A (PROBE)",NA,"ug/L",1,3.77,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 10:20:00","Depth Profile","DISSOLVED OXYGEN",NA,"mg/L",1,8.16,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-06-14,"2017-06-14 10:10:00","Depth Profile","DISSOLVED OXYGEN",NA,"mg/L",1,9.12,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-08-08,"2017-08-08 09:50:00","Depth Profile","DISSOLVED OXYGEN",NA,"mg/L",1,8.31,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 12:10:00","Depth Profile","DISSOLVED OXYGEN",NA,"mg/L",1,12.02,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-06-14,"2017-06-14 10:30:00","Depth Profile","DISSOLVED OXYGEN",NA,"mg/L",1,9.03,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-08-08,"2017-08-08 11:55:00","Depth Profile","DISSOLVED OXYGEN",NA,"mg/L",1,10.23,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 11:45:00","Depth Profile","DISSOLVED OXYGEN",NA,"mg/L",1,8.64,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-06-14,"2017-06-14 09:15:00","Depth Profile","DISSOLVED OXYGEN",NA,"mg/L",1,8.98,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-08-08,"2017-08-08 11:00:00","Depth Profile","DISSOLVED OXYGEN",NA,"mg/L",1,8.65,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 10:55:00","Depth Profile","DISSOLVED OXYGEN",NA,"mg/L",1,9.55,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-06-14,"2017-06-14 09:38:00","Depth Profile","DISSOLVED OXYGEN",NA,"mg/L",1,9.32,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-08-08,"2017-08-08 10:30:00","Depth Profile","DISSOLVED OXYGEN",NA,"mg/L",1,8.79,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 10:20:00","Depth Profile","DISSOLVED OXYGEN SATURATION",NA,"percent",1,93,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-06-14,"2017-06-14 10:10:00","Depth Profile","DISSOLVED OXYGEN SATURATION",NA,"percent",1,113,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-08-08,"2017-08-08 09:50:00","Depth Profile","DISSOLVED OXYGEN SATURATION",NA,"percent",1,101.8,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 12:10:00","Depth Profile","DISSOLVED OXYGEN SATURATION",NA,"percent",1,136.8,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-06-14,"2017-06-14 10:30:00","Depth Profile","DISSOLVED OXYGEN SATURATION",NA,"percent",1,114.1,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-08-08,"2017-08-08 11:55:00","Depth Profile","DISSOLVED OXYGEN SATURATION",NA,"percent",1,126.5,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 11:45:00","Depth Profile","DISSOLVED OXYGEN SATURATION",NA,"percent",1,96.8,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-06-14,"2017-06-14 09:15:00","Depth Profile","DISSOLVED OXYGEN SATURATION",NA,"percent",1,108.5,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-08-08,"2017-08-08 11:00:00","Depth Profile","DISSOLVED OXYGEN SATURATION",NA,"percent",1,105.8,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 10:55:00","Depth Profile","DISSOLVED OXYGEN SATURATION",NA,"percent",1,108.7,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-06-14,"2017-06-14 09:38:00","Depth Profile","DISSOLVED OXYGEN SATURATION",NA,"percent",1,112.4,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-08-08,"2017-08-08 10:30:00","Depth Profile","DISSOLVED OXYGEN SATURATION",NA,"percent",1,107.1,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 10:20:00","Depth Profile","OXIDATION REDUCTION POTENTIAL (ORP)",NA,"mV",1,194,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-06-14,"2017-06-14 10:10:00","Depth Profile","OXIDATION REDUCTION POTENTIAL (ORP)",NA,"mV",1,286,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-08-08,"2017-08-08 09:50:00","Depth Profile","OXIDATION REDUCTION POTENTIAL (ORP)",NA,"mV",1,202,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 12:10:00","Depth Profile","OXIDATION REDUCTION POTENTIAL (ORP)",NA,"mV",1,145,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-06-14,"2017-06-14 10:30:00","Depth Profile","OXIDATION REDUCTION POTENTIAL (ORP)",NA,"mV",1,291,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-08-08,"2017-08-08 11:55:00","Depth Profile","OXIDATION REDUCTION POTENTIAL (ORP)",NA,"mV",1,201,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 11:45:00","Depth Profile","OXIDATION REDUCTION POTENTIAL (ORP)",NA,"mV",1,168,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-06-14,"2017-06-14 09:15:00","Depth Profile","OXIDATION REDUCTION POTENTIAL (ORP)",NA,"mV",1,248,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-08-08,"2017-08-08 11:00:00","Depth Profile","OXIDATION REDUCTION POTENTIAL (ORP)",NA,"mV",1,219,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 10:55:00","Depth Profile","OXIDATION REDUCTION POTENTIAL (ORP)",NA,"mV",1,176,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-06-14,"2017-06-14 09:38:00","Depth Profile","OXIDATION REDUCTION POTENTIAL (ORP)",NA,"mV",1,261,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-08-08,"2017-08-08 10:30:00","Depth Profile","OXIDATION REDUCTION POTENTIAL (ORP)",NA,"mV",1,205,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 10:20:00","Depth Profile","PH",NA,"pH units",1,7.44,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-06-14,"2017-06-14 10:10:00","Depth Profile","PH",NA,"pH units",1,7.89,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-08-08,"2017-08-08 09:50:00","Depth Profile","PH",NA,"pH units",1,7.81,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 12:10:00","Depth Profile","PH",NA,"pH units",1,8.74,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-08-08,"2017-08-08 11:55:00","Depth Profile","PH",NA,"pH units",1,8.39,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-09-12,"2017-09-12 11:45:00","Depth Profile","PH",NA,"pH units",1,7.58,NA,NA,NA
"ALLEGHENY RESERVOIR",2017-06-14,"2017-06-14 09:15:00","Depth Profile","PH",NA,"pH units",1,7.66,NA,NA,NA
